name	x	y	z	size	impedance
T01	50.578	-40.432	45.414	0.000	0.000
T02	56.578	-32.432	42.414	0.000	0.000
T03	63.578	-25.432	38.414	0.000	0.000
T04	66.578	-15.432	34.414	0.000	0.000
T05	67.578	-6.432	30.414	0.000	0.000
T06	66.578	3.568	26.414	0.000	0.000
T07	62.578	11.568	22.414	0.000	0.000
T08	63.578	20.568	18.414	0.000	0.000
T09	52.578	-46.432	35.414	0.000	0.000
T10	60.578	-38.432	33.414	0.000	0.000
T11	64.578	-29.432	29.414	0.000	0.000
T12	67.578	-20.432	25.414	0.000	0.000
T13	70.578	-10.432	22.414	0.000	0.000
T14	66.578	-1.432	17.414	0.000	0.000
T15	65.578	8.568	13.414	0.000	0.000
T16	64.578	17.568	9.414	0.000	0.000
T17	53.578	-49.432	27.414	0.000	0.000
T18	60.578	-42.432	24.414	0.000	0.000
T19	64.578	-33.432	20.414	0.000	0.000
T20	67.578	-24.432	16.414	0.000	0.000
T21	68.578	-15.432	12.414	0.000	0.000
T22	68.578	-5.432	8.414	0.000	0.000
T23	63.578	3.568	4.414	0.000	0.000
T24	63.578	12.568	0.414	0.000	0.000
T25	52.578	-53.432	18.414	0.000	0.000
T26	59.578	-46.432	15.414	0.000	0.000
T27	62.578	-37.432	11.414	0.000	0.000
T28	67.578	-28.432	7.414	0.000	0.000
T29	67.578	-19.432	4.414	0.000	0.000
T30	66.578	-10.432	-0.586	0.000	0.000
T31	68.578	-0.432	-4.586	0.000	0.000
T32	64.578	8.568	-8.586	0.000	0.000
T33	50.578	-57.432	10.414	0.000	0.000
T34	55.578	-49.432	6.414	0.000	0.000
T35	59.578	-41.432	2.414	0.000	0.000
T36	62.578	-32.432	0.414	0.000	0.000
T37	65.578	-22.432	-5.586	0.000	0.000
T38	65.578	-12.432	-7.586	0.000	0.000
T39	66.578	-4.432	-13.586	0.000	0.000
T40	64.578	4.568	-16.586	0.000	0.000
T41	50.578	-60.432	1.414	0.000	0.000
T42	53.578	-53.432	-2.586	0.000	0.000
T43	57.578	-44.432	-6.586	0.000	0.000
T44	63.578	-36.432	-10.586	0.000	0.000
T45	65.578	-27.432	-13.586	0.000	0.000
T46	67.578	-18.432	-18.586	0.000	0.000
T47	66.578	-8.432	-22.586	0.000	0.000
T48	63.578	0.568	-25.586	0.000	0.000
F49	37.578	70.568	-16.586	0.000	0.000
F50	44.578	64.568	-12.586	0.000	0.000
F51	49.578	55.568	-9.586	0.000	0.000
F52	51.578	46.568	-5.586	0.000	0.000
F53	52.578	38.568	-3.586	0.000	0.000
F54	57.578	30.568	-0.586	0.000	0.000
F55	60.578	21.568	0.414	0.000	0.000
F56	63.578	11.568	2.414	0.000	0.000
F57	35.578	75.568	-6.586	0.000	0.000
F58	41.578	67.568	-2.586	0.000	0.000
F59	48.578	59.568	0.414	0.000	0.000
F60	51.578	49.568	2.414	0.000	0.000
F61	52.578	40.568	7.414	0.000	0.000
F62	58.578	32.568	7.414	0.000	0.000
F63	62.578	24.568	11.414	0.000	0.000
F64	65.578	14.568	12.414	0.000	0.000
vT1	18.578	-9.432	-29.586	0.000	0.000
vT2	16.578	-1.432	-37.586	0.000	0.000
vT3	19.578	7.568	-43.586	0.000	0.000
vT4	21.578	15.568	-47.586	0.000	0.000
vT5	25.578	22.568	-47.586	0.000	0.000
vT6	30.578	31.568	-42.586	0.000	0.000
vT7	34.578	36.568	-36.586	0.000	0.000
vT8	38.578	35.568	-29.586	0.000	0.000
sT1	18.578	-9.432	-29.586	0.000	0.000
sT2	26.578	-12.432	-37.586	0.000	0.000
sT3	36.578	-11.432	-40.586	0.000	0.000
sT4	45.578	-7.432	-40.586	0.000	0.000
sT5	53.578	-2.432	-39.586	0.000	0.000
sT6	58.578	4.568	-33.586	0.000	0.000
sT7	59.578	11.568	-25.586	0.000	0.000
sT8	58.578	15.568	-17.586	0.000	0.000
D1	34.578	-25.432	6.414	0.000	0.000
D2	39.578	-25.432	5.164	0.000	0.000
D3	44.478	-25.632	4.414	0.000	0.000
D4	48.678	-25.632	3.414	0.000	0.000
D5	53.745	-25.432	3.081	0.000	0.000
D6	58.507	-25.289	2.128	0.000	0.000
