item	onset	offset
s	59.706	59.786
t	59.786	59.861
ɪ	59.861	59.947
k	59.947	60.063
ə	60.063	60.1143
ɪ	90.943	90.979
k	90.979	91.053
χ	91.053	91.118
ə	91.118	91.129
l	91.129	91.185
o	91.185	91.257
f	91.257	91.326
d	91.326	91.377
ɑ	91.377	91.403
t	91.403	91.441
ə	91.441	91.475
d	91.475	91.559
a	91.559	91.66
d	91.66	91.681
ə	91.681	91.713
l	91.713	91.737
ə	91.737	91.763
k	91.763	91.796
χ	91.796	91.853
a	91.853	91.883
t	91.883	91.942
r	91.942	92.024
e	92.024	92.173
χ	92.173	92.26
ə	92.26	92.286
n	92.286	92.347
ə	92.347	92.414
d	92.825	92.876
i	92.876	92.945
k	92.945	93.025
ɪ	93.025	93.112
n	93.112	93.165
d	93.165	93.197
ə	93.197	93.209
r	93.209	93.247
ə	93.247	93.263
œy	93.263	93.36
t	93.36	93.437
ɑ	93.437	93.484
t	93.484	93.555
b	93.555	93.617
u	93.617	93.672
k	93.672	93.741
d	93.741	93.8
i	93.8	93.872
w	93.872	93.92
ɛ	93.92	93.978
χ	93.978	94.089
ə	94.089	94.128
l	94.128	94.181
o	94.181	94.309
p	94.309	94.376
ə	94.376	94.423
w	94.423	94.466
ɑ	94.466	94.617
r	94.617	94.659
ə	94.659	94.691
a	94.691	94.786
d	94.786	94.846
ɑ	94.846	94.932
l	94.932	94.96
d	94.96	95.015
ʏ	95.015	95.103
m	95.103	95.181
oj	95.181	95.374
w	95.374	95.436
e	95.436	95.615
r	95.615	95.6902
w	100.823	100.863
a	100.863	100.903
m	100.903	100.986
u	100.986	101.045
t	101.045	101.112
ə	101.112	101.142
w	101.142	101.191
ə	101.191	101.241
v	101.241	101.34
ɑ	101.34	101.363
n	101.363	101.45
ɑ	101.45	101.515
x	101.515	101.583
t	101.583	101.644
χ	101.644	101.684
a	101.684	101.718
n	101.718	101.748
s	101.748	101.902
l	101.902	101.975
a	101.975	102.143
p	102.143	102.268
ə	102.268	102.334
w	103.718	103.774
ə	103.774	103.826
z	103.826	103.898
ʏ	103.898	103.975
l	103.975	104.002
ə	104.002	104.035
w	104.035	104.073
ɛ	104.073	104.113
l	104.113	104.153
e	104.153	104.277
r	104.277	104.355
s	104.355	104.43
w	104.43	104.462
ɑ	104.462	104.508
t	104.508	104.566
v	104.566	104.641
ɪ	104.641	104.723
n	104.723	104.785
d	104.785	104.856
ə	104.856	104.8881
j	106.955	107.005
ə	107.005	107.045
w	107.045	107.112
e	107.112	107.238
t	107.238	107.334
ɔ	107.334	107.444
x	107.444	107.555
ɪ	107.634	107.704
k	107.704	107.783
b	107.783	107.828
ɛ	107.828	107.893
n	107.893	107.933
ə	107.933	108.007
χ	108.007	108.08
ə	108.08	108.124
l	108.124	108.188
ʏ	108.188	108.256
