item	onset	offset
m	331.728	331.789
ɛi	331.789	331.835
l	331.835	331.921
ɛi	331.921	331.998
m	331.998	332.044
χ	332.129	332.194
u	332.194	332.283
t	332.283	332.307
ɪ	332.307	332.367
s	332.367	332.427
w	332.427	332.459
ɪ	332.459	332.527
s	332.527	332.591
t	332.591	332.629
ɪ	332.629	332.683
k	332.683	332.734
ɑ	332.734	332.8
l	332.8	332.905
ɑ	332.905	332.971
ŋ	332.971	333.03
m	333.03	333.13
r	333.13	333.184
d	333.184	333.218
ɑ	333.218	333.27
t	333.27	333.326
i	333.326	333.428
z	333.428	333.559
o	333.559	333.712
χ	333.712	333.801
p	333.801	333.851
i	333.851	333.958
s	334.031	334.126
ɪ	334.126	334.181
z	334.181	334.3
ɛ	334.3	334.387
l	334.387	334.424
m	334.675	334.717
ɛi	334.717	334.815
n	334.815	334.911
iu	334.911	335.072
k	335.288	335.357
ɑu	335.357	335.565
s	335.565	335.695
t	342.146	342.238
ɔ	342.238	342.352
m	342.352	342.428
i	342.428	342.563
ɑ	343.04	343.135
n	343.135	343.206
ɪ	343.206	343.305
k	343.305	343.397
a	343.397	343.6
k	344.378	344.427
ɛɪ	344.427	344.595
k	344.595	344.703
e	344.703	344.885
s	344.885	345.019
ɪ	345.584	345.663
k	345.663	345.744
b	345.744	345.769
ɛ	345.769	345.831
n	345.831	345.882
i	345.882	346.366
d	349.13	349.175
i	349.175	349.242
k	349.242	349.337
l	349.337	349.391
e	349.391	349.557
f	349.557	349.641
p	349.641	349.705
ɑ	349.705	349.803
s	349.803	349.898
t	349.898	349.944
a	349.944	349.998
ɪ	349.998	350.088
s	350.088	350.195
w	350.195	350.274
ɛ	350.274	350.492
k	350.492	350.599
ə	350.599	350.64
l	350.64	350.681
ə	350.681	350.733
k	350.733	350.769
v	351.258	351.281
ɑ	351.281	351.374
n	351.374	351.428
f	351.428	351.585
ɔ	351.585	351.775
r	351.775	351.826
m	352.222	352.462
a	352.462	352.722
t	352.935	353.066
p	353.222	353.26
i	353.26	353.335
p	353.335	353.435
i	353.435	353.569
l	353.569	353.614
a	353.614	353.711
t	353.711	353.773
ɛ	353.773	353.818
n	353.818	353.891
i	353.891	353.952
t	353.952	354.011
ɔ	354.011	354.082
d	354.082	354.197
r	354.197	354.243
o	354.243	354.399
χ	354.399	354.481
ə	354.481	354.515
d	354.515	354.545
ɑ	354.545	354.595
n	354.595	354.629
b	354.629	354.662
l	354.662	354.696
ɛi	354.696	354.775
f	354.775	354.862
ə	354.862	354.894
d	354.894	354.923
a	354.923	354.976
b	354.976	355.033
o	355.033	355.144
v	355.144	355.196
ə	355.196	355.236
ɑ	355.236	355.388
ŋ	355.388	355.449
ə	355.449	355.58
d	355.874	355.984
ɑ	355.984	356.046
m	356.046	356.141
u	356.141	356.216
t	356.216	356.311
ə	356.311	356.342
z	356.342	356.411
ə	356.411	356.476
j	356.476	356.562
ə	356.562	356.67
e	356.67	356.796
t	356.796	356.858
ə	356.858	356.895
k	356.895	356.97
o	356.97	357.068
m	357.068	357.117
ə	357.117	357.189
b	357.189	357.253
r	357.253	357.296
ɛ	357.296	357.372
ŋ	357.372	357.427
ə	357.427	357.479
m	357.479	357.536
ɛ	357.536	357.6
t	357.6	357.659
ə	357.659	357.697
l	357.697	357.827
ɑ	357.827	357.939
d	357.939	358.006
ə	358.006	358.077
