name	x	y	z	size
FB1	-41.130	-9.159	-19.464	n/a
FB2	-47.130	-2.159	-18.464	n/a
FB3	-52.130	5.841	-14.464	n/a
FB4	-53.130	12.841	-8.464	n/a
FB5	-53.130	18.841	-0.464	n/a
FB6	-49.130	24.841	7.536	n/a
FB7	-46.130	29.841	15.536	n/a
FB8	-43.130	35.841	23.536	n/a
IHv1	2.870	68.841	8.536	n/a
IHv2	5.870	72.841	16.536	n/a
IHv3	4.870	77.841	25.536	n/a
IHv4	2.870	79.841	34.536	n/a
IHv5	3.870	75.841	44.536	n/a
IHv6	7.870	68.841	51.536	n/a
IHv7	7.870	60.841	56.536	n/a
IHv8	4.870	53.841	63.536	n/a
IHa1	4.870	33.841	15.536	n/a
IHa2	6.870	39.841	24.536	n/a
IHa3	6.870	43.841	36.536	n/a
IHa4	6.870	47.841	44.536	n/a
IHa5	7.870	51.841	52.536	n/a
IHa6	5.870	54.841	61.536	n/a
IHa7	-0.130	58.841	64.536	n/a
IHa8	-11.130	58.841	60.536	n/a
Fp01	6.870	40.841	21.536	n/a
Fp02	6.870	46.841	22.536	n/a
Fp03	-2.130	53.841	3.536	n/a
Fp04	-9.130	59.841	6.536	n/a
Fp05	-15.130	63.841	13.536	n/a
Fp06	-22.130	69.841	18.536	n/a
Fp07	-28.130	72.841	28.536	n/a
Fp08	-27.130	66.841	38.536	n/a
Fp09	6.870	32.841	21.536	n/a
Fp10	-1.130	41.841	0.536	n/a
Fp11	-9.130	46.841	1.536	n/a
Fp12	-16.130	51.841	6.536	n/a
Fp13	-22.130	56.841	11.536	n/a
Fp14	-29.130	62.841	16.536	n/a
Fp15	-34.130	63.841	24.536	n/a
Fp16	-34.130	60.841	36.536	n/a
C01	-21.130	-6.159	73.536	n/a
C02	-23.130	2.841	70.536	n/a
C03	-25.130	12.841	69.536	n/a
C04	-28.130	22.841	67.536	n/a
C05	-28.130	31.841	63.536	n/a
C06	-29.130	41.841	59.536	n/a
C07	-29.130	49.841	55.536	n/a
C08	-29.130	58.841	49.536	n/a
C09	-11.130	-4.159	74.536	n/a
C10	-16.130	5.841	76.536	n/a
C11	-15.130	14.841	71.536	n/a
C12	-19.130	24.841	70.536	n/a
C13	-20.130	34.841	67.536	n/a
C14	-20.130	43.841	64.536	n/a
C15	-19.130	52.841	59.536	n/a
C16	-20.130	60.841	54.536	n/a
