name	x	y	z	size
F01	-11.259	65.793	-15.334	n/a
F02	-16.259	67.793	-12.334	n/a
F03	-21.259	71.793	-1.334	n/a
F04	-23.259	72.793	9.666	n/a
F05	-22.259	68.793	18.666	n/a
F06	-20.259	62.793	27.666	n/a
F07	-17.259	57.793	35.666	n/a
F08	-14.259	50.793	43.666	n/a
F09	-16.259	56.793	-18.334	n/a
F10	-22.259	62.793	-12.334	n/a
F11	-27.259	64.793	-4.334	n/a
F12	-32.259	66.793	7.666	n/a
F13	-32.259	63.793	17.666	n/a
F14	-29.259	57.793	27.666	n/a
F15	-25.259	51.793	34.666	n/a
F16	-23.259	45.793	41.666	n/a
F17	-22.259	47.793	-18.334	n/a
F18	-28.259	53.793	-12.334	n/a
F19	-35.259	56.793	-6.334	n/a
F20	-41.259	60.793	5.666	n/a
F21	-40.259	56.793	16.666	n/a
F22	-38.259	53.793	25.666	n/a
F23	-36.259	46.793	33.666	n/a
F24	-30.259	39.793	41.666	n/a
F25	-27.259	39.793	-18.334	n/a
F26	-35.259	44.793	-14.334	n/a
F27	-41.259	49.793	-8.334	n/a
F28	-47.259	53.793	3.666	n/a
F29	-47.259	49.793	13.666	n/a
F30	-46.259	45.793	23.666	n/a
F31	-43.259	40.793	31.666	n/a
F32	-40.259	33.793	40.666	n/a
T33	-63.259	-23.207	-13.334	n/a
T34	-68.259	-13.207	-9.334	n/a
T35	-67.259	-3.207	-6.334	n/a
T36	-60.259	5.793	-2.334	n/a
T37	-57.259	14.793	-0.334	n/a
T38	-53.259	22.793	3.666	n/a
T39	-53.259	32.793	6.666	n/a
T40	-52.259	43.793	9.666	n/a
T41	-64.259	-26.207	-3.334	n/a
T42	-65.259	-17.207	-0.334	n/a
T43	-65.259	-8.207	2.666	n/a
T44	-60.259	1.793	5.666	n/a
T45	-58.259	11.793	7.666	n/a
T46	-57.259	19.793	12.666	n/a
T47	-54.259	29.793	15.666	n/a
T48	-50.259	39.793	19.666	n/a
T49	-65.259	-32.207	5.666	n/a
T50	-65.259	-22.207	8.666	n/a
T51	-62.259	-12.207	13.666	n/a
T52	-61.259	-3.207	14.666	n/a
T53	-60.259	6.793	17.666	n/a
T54	-57.259	15.793	21.666	n/a
T55	-54.259	24.793	24.666	n/a
T56	-49.259	32.793	27.666	n/a
T57	-63.259	-35.207	15.666	n/a
T58	-62.259	-25.207	20.666	n/a
T59	-62.259	-16.207	21.666	n/a
T60	-62.259	-7.207	24.666	n/a
T61	-60.259	2.793	28.666	n/a
T62	-56.259	12.793	30.666	n/a
T63	-51.259	20.793	34.666	n/a
T64	-45.259	29.793	36.666	n/a
C01	-59.259	-36.207	28.666	n/a
C02	-59.259	-26.207	30.666	n/a
C03	-60.259	-16.207	33.666	n/a
C04	-57.259	-6.207	36.666	n/a
C05	-54.259	3.793	38.666	n/a
C06	-49.259	11.793	40.666	n/a
C07	-44.259	20.793	42.666	n/a
C08	-37.259	27.793	45.666	n/a
IH1	-13.259	67.793	-13.334	n/a
IH2	-9.259	72.793	-6.334	n/a
IH3	-5.259	70.793	1.666	n/a
IH4	-2.259	65.793	10.666	n/a
IH5	-0.259	61.793	19.666	n/a
IH6	-0.259	56.793	27.666	n/a
IH7	1.741	50.793	35.666	n/a
IH8	-1.259	44.793	44.666	n/a
