onset	duration	trial_type	value
14.768	0.000	start task	9
14.795	29.992	music	2
44.787	30.002	speech	1
74.789	30.004	music	2
104.793	30.002	speech	1
134.795	30.004	music	2
164.799	30.002	speech	1
194.801	30.002	music	2
224.803	30.002	speech	1
254.805	30.007	music	2
284.812	29.999	speech	1
314.811	30.003	music	2
344.814	30.002	speech	1
374.816	30.065	music	2
404.881	0.000	end task	4
