onset	offset
0.0	6.24
9.4	29.04
29.56	47.12
51.32	60.08
71.4	119.96
124.2	127.28
129.08	139.32
140.48	143.2
145.72	171.48
180.12	214.56
218.4	228.44
265.84	269.92
278.12	282.96
293.64	297.32
297.44	300.56
303.68	306.96
311.04	320.08
322.08	331.04
333.56	343.48
347.52	352.96
355.84	376.04
379.88	383.0
386.76	389.96
