onset	offset
0.0	6.24
9.4	16.6
20.4	27.96
29.56	47.12
51.32	60.08
71.4	113.36
124.2	139.32
145.72	170.68
175.52	192.0
194.72	211.72
265.84	269.92
284.16	306.96
311.04	320.08
322.08	358.36
361.68	378.2
381.48	389.96
