onset	offset
0.0	1.56
29.56	47.12
51.32	66.4
71.4	89.96
120.0	124.16
127.32	139.32
145.72	170.68
175.52	180.08
265.84	269.92
300.6	303.64
322.08	331.04
333.56	343.48
348.16	352.96
355.84	358.36
361.68	367.84
371.72	378.2
381.48	389.96
