onset	offset
0.0	6.24
9.4	16.6
20.4	27.08
51.32	60.08
118.08	119.96
126.16	127.28
129.08	129.68
130.92	132.04
164.96	165.32
165.8	166.84
184.16	192.0
194.72	214.56
293.68	297.2
347.52	348.12
361.68	371.68
