onset	offset
2.52	6.24
9.4	11.0
11.36	12.32
23.2	24.96
29.56	47.12
51.32	60.08
71.4	113.36
124.2	127.28
128.16	129.64
131.48	139.32
145.72	165.32
175.52	180.08
184.88	192.0
194.72	211.72
265.84	269.92
295.16	300.56
303.68	306.96
311.04	318.96
331.08	333.52
353.0	355.8
367.88	371.68
