name	x	y	z	size	group	hemisphere
T01	-45.259	-51.007	5.166	n/a	T	L
T02	-46.259	-42.007	4.166	n/a	T	L
T03	-44.259	-30.007	4.166	n/a	T	L
T04	-30.259	-21.007	1.166	n/a	T	L
T05	-44.259	-13.007	2.166	n/a	T	L
T06	-29.259	-3.007	-2.834	n/a	T	L
T07	-51.259	7.993	2.166	n/a	T	L
T08	-50.259	17.993	5.166	n/a	T	L
T09	-51.259	-52.007	12.166	n/a	T	L
T10	-48.259	-42.007	14.166	n/a	T	L
T11	-45.259	-32.007	13.166	n/a	T	L
T12	-45.259	-24.007	12.166	n/a	T	L
T13	-50.259	-12.007	14.166	n/a	T	L
T14	-51.259	-3.007	14.166	n/a	T	L
T15	-51.259	6.993	13.166	n/a	T	L
T16	-49.259	15.993	15.166	n/a	T	L
T17	-52.259	-53.007	22.166	n/a	T	L
T18	-55.259	-43.007	23.166	n/a	T	L
T19	-53.259	-33.007	23.166	n/a	T	L
T20	-54.259	-23.007	21.166	n/a	T	L
T21	-60.259	-13.007	26.166	n/a	T	L
T22	-57.259	-3.007	24.166	n/a	T	L
T23	-58.259	5.993	25.166	n/a	T	L
T24	-50.259	15.993	26.166	n/a	T	L
T25	-51.259	-54.007	32.166	n/a	T	L
T26	-57.259	-44.007	33.166	n/a	T	L
T27	-59.259	-33.007	34.166	n/a	T	L
T28	-62.259	-22.007	35.166	n/a	T	L
T29	-62.259	-13.007	36.166	n/a	T	L
T30	-61.259	-4.007	35.166	n/a	T	L
T31	-58.259	4.993	34.166	n/a	T	L
T32	-56.259	14.993	35.166	n/a	T	L
C33	-34.259	43.993	69.166	n/a	C	L
C34	-37.259	32.993	71.166	n/a	C	L
C35	-42.259	24.993	72.166	n/a	C	L
C36	-44.259	14.993	72.166	n/a	C	L
C37	-44.259	2.993	72.166	n/a	C	L
C38	-45.259	-5.007	72.166	n/a	C	L
C39	-49.259	-16.007	73.166	n/a	C	L
C40	-51.259	-25.007	72.166	n/a	C	L
C41	-44.259	43.993	62.166	n/a	C	L
C42	-47.259	34.993	63.166	n/a	C	L
C43	-50.259	25.993	64.166	n/a	C	L
C44	-51.259	14.993	64.166	n/a	C	L
C45	-50.259	4.993	63.166	n/a	C	L
C46	-51.259	-5.007	63.166	n/a	C	L
C47	-55.259	-15.007	63.166	n/a	C	L
C48	-56.259	-25.007	63.166	n/a	C	L
C49	-49.259	44.993	53.166	n/a	C	L
C50	-53.259	35.993	54.166	n/a	C	L
C51	-55.259	25.993	54.166	n/a	C	L
C52	-57.259	14.993	53.166	n/a	C	L
C53	-58.259	4.993	54.166	n/a	C	L
C54	-59.259	-5.007	54.166	n/a	C	L
C55	-57.259	-15.007	52.166	n/a	C	L
C56	-57.259	-25.007	52.166	n/a	C	L
C57	-53.259	45.993	43.166	n/a	C	L
C58	-58.259	35.993	45.166	n/a	C	L
C59	-55.259	24.993	43.166	n/a	C	L
C60	-58.259	14.993	44.166	n/a	C	L
C61	-59.259	4.993	43.166	n/a	C	L
C62	-62.259	-5.007	44.166	n/a	C	L
C63	-60.259	-15.007	43.166	n/a	C	L
C64	-60.259	-25.007	43.166	n/a	C	L
sT1	-25.259	12.993	-2.834	n/a	sT	L
sT2	-32.259	15.993	-10.834	n/a	sT	L
sT3	-43.259	15.993	-10.834	n/a	sT	L
sT4	-50.259	13.993	-5.834	n/a	sT	L
sT5	-51.259	8.993	0.166	n/a	sT	L
sT6	-50.259	3.993	10.166	n/a	sT	L
sT7	-52.259	-3.007	16.166	n/a	sT	L
sT8	-54.259	-9.007	21.166	n/a	sT	L
vT1	-24.259	17.993	3.166	n/a	vT	L
vT2	-29.259	24.993	-1.834	n/a	vT	L
vT3	-36.259	26.993	-1.834	n/a	vT	L
vT4	-42.259	25.993	0.166	n/a	vT	L
vT5	-46.259	23.993	5.166	n/a	vT	L
vT6	-48.259	27.993	18.166	n/a	vT	L
vT7	-50.259	16.993	24.166	n/a	vT	L
vT8	-52.259	15.993	30.166	n/a	vT	L
