name	x	y	z	size	group	hemisphere
OT63	-54.500	-30.500	19.550	n/a	OT	L
OT64	-59.500	-24.500	13.550	n/a	OT	L
P01	-4.500	-39.500	44.550	n/a	P	L
P02	-12.500	-39.500	47.550	n/a	P	L
P03	-22.500	-37.500	46.550	n/a	P	L
P04	-30.500	-33.500	42.550	n/a	P	L
P05	-39.500	-30.500	39.550	n/a	P	L
P06	-46.500	-26.500	34.550	n/a	P	L
P07	-54.500	-22.500	27.550	n/a	P	L
P08	-58.500	-18.500	19.550	n/a	P	L
P09	-3.500	-30.500	48.550	n/a	P	L
P10	-11.500	-30.500	52.550	n/a	P	L
P11	-21.500	-29.500	51.550	n/a	P	L
P12	-30.500	-25.500	49.550	n/a	P	L
P13	-38.500	-22.500	44.550	n/a	P	L
P14	-44.500	-17.500	38.550	n/a	P	L
P15	-52.500	-13.500	32.550	n/a	P	L
P16	-58.500	-9.500	24.550	n/a	P	L
vT1	-15.500	-6.500	-23.450	n/a	vT	L
vT2	-17.500	-1.500	-32.450	n/a	vT	L
vT3	-17.500	4.500	-40.450	n/a	vT	L
vT4	-20.500	11.500	-48.450	n/a	vT	L
vT5	-24.500	18.500	-54.450	n/a	vT	L
vT6	-33.500	21.500	-55.450	n/a	vT	L
vT7	-41.500	21.500	-52.450	n/a	vT	L
vT8	-50.500	21.500	-46.450	n/a	vT	L
sTv1	-17.500	-6.500	-28.450	n/a	sTv	L
sTv2	-25.500	-10.500	-33.450	n/a	sTv	L
sTv3	-35.500	-11.500	-35.450	n/a	sTv	L
sTv4	-44.500	-12.500	-35.450	n/a	sTv	L
sTv5	-54.500	-12.500	-35.450	n/a	sTv	L
sTv6	-62.500	-10.500	-30.450	n/a	sTv	L
sTv7	-64.500	-2.500	-21.450	n/a	sTv	L
sTv8	-63.500	4.500	-15.450	n/a	sTv	L
sTm1	-35.500	-19.500	-32.450	n/a	sTm	L
sTm2	-44.500	-19.500	-34.450	n/a	sTm	L
sTm3	-54.500	-19.500	-32.450	n/a	sTm	L
sTm4	-62.500	-15.500	-27.450	n/a	sTm	L
sTm5	-35.500	-28.500	-28.450	n/a	sTm	L
sTm6	-45.500	-29.500	-30.450	n/a	sTm	L
sTm7	-56.500	-28.500	-28.450	n/a	sTm	L
sTm8	-61.500	-23.500	-20.450	n/a	sTm	L
sTa1	-10.500	-17.500	-14.450	n/a	sTa	L
sTa2	-15.500	-24.500	-19.450	n/a	sTa	L
sTa3	-23.500	-30.500	-22.450	n/a	sTa	L
sTa4	-31.500	-36.500	-24.450	n/a	sTa	L
sTa5	-40.500	-42.500	-24.450	n/a	sTa	L
sTa6	-49.500	-47.500	-18.450	n/a	sTa	L
sTa7	-52.500	-45.500	-10.450	n/a	sTa	L
sTa8	-54.500	-41.500	-1.450	n/a	sTa	L
