name	x	y	z	size	group	hemisphere
T01	-44.500	37.500	-34.450	n/a	T	L
T02	-49.500	31.500	-28.450	n/a	T	L
T03	-52.500	25.500	-21.450	n/a	T	L
T04	-57.500	20.500	-14.450	n/a	T	L
T05	-62.500	13.500	-8.450	n/a	T	L
T06	-63.500	7.500	-0.450	n/a	T	L
T07	-61.500	0.500	6.550	n/a	T	L
T08	-61.500	-7.500	14.550	n/a	T	L
T09	-45.500	30.500	-41.450	n/a	T	L
T10	-51.500	25.500	-36.450	n/a	T	L
T11	-55.500	20.500	-29.450	n/a	T	L
T12	-62.500	14.500	-21.450	n/a	T	L
T13	-63.500	7.500	-14.450	n/a	T	L
T14	-65.500	-0.500	-7.450	n/a	T	L
T15	-64.500	-7.500	0.550	n/a	T	L
T16	-61.500	-14.500	7.550	n/a	T	L
T17	-46.500	22.500	-49.450	n/a	T	L
T18	-53.500	18.500	-43.450	n/a	T	L
T19	-58.500	12.500	-37.450	n/a	T	L
T20	-63.500	6.500	-28.450	n/a	T	L
T21	-64.500	-0.500	-21.450	n/a	T	L
T22	-64.500	-8.500	-14.450	n/a	T	L
T23	-64.500	-15.500	-7.450	n/a	T	L
T24	-62.500	-21.500	0.550	n/a	T	L
T25	-44.500	14.500	-53.450	n/a	T	L
T26	-51.500	10.500	-48.450	n/a	T	L
T27	-57.500	4.500	-43.450	n/a	T	L
T28	-61.500	-0.500	-37.450	n/a	T	L
T29	-64.500	-7.500	-28.450	n/a	T	L
T30	-62.500	-18.500	-21.450	n/a	T	L
T31	-63.500	-23.500	-13.450	n/a	T	L
T32	-60.500	-29.500	-6.450	n/a	T	L
OT33	-1.500	-69.500	16.550	n/a	OT	L
OT34	-12.500	-70.500	15.550	n/a	OT	L
OT35	-21.500	-67.500	13.550	n/a	OT	L
OT36	-30.500	-65.500	9.550	n/a	OT	L
OT37	-38.500	-61.500	5.550	n/a	OT	L
OT38	-44.500	-55.500	0.550	n/a	OT	L
OT39	-50.500	-47.500	-6.450	n/a	OT	L
OT40	-55.500	-41.500	-11.450	n/a	OT	L
OT41	-3.500	-63.500	23.550	n/a	OT	L
OT42	-13.500	-64.500	24.550	n/a	OT	L
OT43	-22.500	-62.500	21.550	n/a	OT	L
OT44	-31.500	-59.500	18.550	n/a	OT	L
OT45	-39.500	-55.500	13.550	n/a	OT	L
OT46	-46.500	-49.500	8.550	n/a	OT	L
OT47	-51.500	-43.500	4.550	n/a	OT	L
OT48	-57.500	-35.500	-2.450	n/a	OT	L
OT49	-3.500	-56.500	30.550	n/a	OT	L
OT50	-13.500	-57.500	31.550	n/a	OT	L
OT51	-23.500	-56.500	29.550	n/a	OT	L
OT52	-32.500	-53.500	26.550	n/a	OT	L
OT53	-40.500	-49.500	21.550	n/a	OT	L
OT54	-48.500	-43.500	17.550	n/a	OT	L
OT55	-53.500	-36.500	12.550	n/a	OT	L
OT56	-57.500	-30.500	6.550	n/a	OT	L
OT57	-4.500	-48.500	36.550	n/a	OT	L
OT58	-13.500	-49.500	37.550	n/a	OT	L
OT59	-23.500	-49.500	36.550	n/a	OT	L
OT60	-32.500	-46.500	34.550	n/a	OT	L
OT61	-40.500	-42.500	30.550	n/a	OT	L
OT62	-48.500	-36.500	24.550	n/a	OT	L
