name	x	y	z	size
FH01	-8.192	59.059	43.665	n/a
FH02	-13.192	51.059	47.665	n/a
FH03	-18.192	43.059	49.665	n/a
FH04	-23.192	34.059	53.665	n/a
FH05	-27.192	26.059	56.665	n/a
FH06	-30.192	16.059	57.665	n/a
FH07	-33.192	6.059	59.665	n/a
FH08	-37.192	-2.941	61.665	n/a
FH09	-16.192	61.059	36.665	n/a
FH10	-21.192	53.059	41.665	n/a
FH11	-27.192	45.059	45.665	n/a
FH12	-32.192	36.059	48.665	n/a
FH13	-35.192	28.059	51.665	n/a
FH14	-38.192	18.059	52.665	n/a
FH15	-40.192	9.059	52.665	n/a
FH16	-44.192	-0.941	54.665	n/a
FH17	-22.192	63.059	29.665	n/a
FH18	-29.192	55.059	34.665	n/a
FH19	-34.192	47.059	38.665	n/a
FH20	-38.192	38.059	41.665	n/a
FH21	-42.192	29.059	43.665	n/a
FH22	-46.192	20.059	45.665	n/a
FH23	-49.192	11.059	47.665	n/a
FH24	-53.192	1.059	48.665	n/a
FH25	-31.192	63.059	23.665	n/a
FH26	-35.192	56.059	26.665	n/a
FH27	-40.192	48.059	29.665	n/a
FH28	-43.192	38.059	29.665	n/a
FH29	-47.192	29.059	31.665	n/a
FH30	-51.192	20.059	36.665	n/a
FH31	-55.192	11.059	38.665	n/a
FH32	-59.192	2.059	40.665	n/a
FL01	-36.192	63.059	16.665	n/a
FL02	-40.192	55.059	19.665	n/a
FL03	-45.192	47.059	21.665	n/a
FL04	-48.192	37.059	23.665	n/a
FL05	-49.192	28.059	26.665	n/a
FL06	-55.192	19.059	28.665	n/a
FL07	-59.192	10.059	31.665	n/a
FL08	-62.192	0.059	33.665	n/a
FL09	-38.192	61.059	6.665	n/a
FL10	-43.192	54.059	9.665	n/a
FL11	-48.192	45.059	11.665	n/a
FL12	-52.192	36.059	14.665	n/a
FL13	-53.192	26.059	16.665	n/a
FL14	-58.192	18.059	18.665	n/a
FL15	-60.192	8.059	21.665	n/a
FL16	-62.192	-1.941	22.665	n/a
FL17	-41.192	61.059	-2.335	n/a
FL18	-44.192	52.059	-0.335	n/a
FL19	-50.192	43.059	1.665	n/a
FL20	-52.192	34.059	4.665	n/a
FL21	-52.192	24.059	6.665	n/a
FL22	-57.192	16.059	8.665	n/a
FL23	-61.192	5.059	11.665	n/a
FL24	-62.192	-3.941	13.665	n/a
FL25	-40.192	57.059	-12.335	n/a
FL26	-43.192	49.059	-10.335	n/a
FL27	-46.192	39.059	-8.335	n/a
FL28	-50.192	30.059	-5.335	n/a
FL29	-54.192	21.059	-2.335	n/a
FL30	-58.192	13.059	-0.335	n/a
FL31	-62.192	4.059	1.665	n/a
FL32	-65.192	-4.941	4.665	n/a
