name	x	y	z	size
T01	-55.826	25.356	31.133	n/a
T02	-58.826	15.356	31.133	n/a
T03	-58.826	6.356	30.133	n/a
T04	-57.826	-4.644	29.133	n/a
T05	-59.826	-14.644	29.133	n/a
T06	-56.826	-24.644	28.133	n/a
T07	-56.826	-35.644	28.133	n/a
T08	-51.826	-44.644	26.133	n/a
T09	-54.826	23.356	22.133	n/a
T10	-57.826	15.356	21.133	n/a
T11	-59.826	6.356	20.133	n/a
T12	-59.826	-3.644	20.133	n/a
T13	-59.826	-12.644	20.133	n/a
T14	-58.826	-24.644	18.133	n/a
T15	-56.826	-34.644	17.133	n/a
T16	-53.826	-43.644	16.133	n/a
T17	-55.826	25.356	11.133	n/a
T18	-58.826	17.356	11.133	n/a
T19	-61.826	6.356	11.133	n/a
T20	-63.826	-3.644	10.133	n/a
T21	-63.826	-13.644	9.133	n/a
T22	-58.826	-23.644	9.133	n/a
T23	-54.826	-33.644	7.133	n/a
T24	-53.826	-42.644	6.133	n/a
T25	-60.826	28.356	2.133	n/a
T26	-61.826	17.356	1.133	n/a
T27	-62.826	8.356	-0.867	n/a
T28	-65.826	-2.644	0.133	n/a
T29	-64.826	-12.644	-0.867	n/a
T30	-61.826	-22.644	-0.867	n/a
T31	-53.826	-29.644	-0.867	n/a
T32	-49.109	-39.338	-3.789	n/a
Oc1	-50.826	-53.644	-0.867	n/a
Oc2	-47.826	-54.644	6.133	n/a
Oc3	-47.826	-56.644	16.133	n/a
Oc4	-45.826	-56.644	26.133	n/a
Oc5	-44.826	-61.644	-2.867	n/a
Oc6	-42.826	-62.644	7.133	n/a
Oc7	-40.826	-65.644	16.133	n/a
Oc8	-41.826	-63.644	25.133	n/a
SOT1	0.738	-76.807	-4.968	n/a
SOT2	0.724	-69.891	-11.775	n/a
SOT3	-3.152	-63.150	-17.156	n/a
SOT4	-10.600	-57.783	-20.080	n/a
SOT5	-19.264	-53.010	-20.964	n/a
SOT6	-28.054	-48.985	-20.461	n/a
SOT7	-36.902	-45.854	-17.959	n/a
SOT8	-44.774	-43.416	-12.716	n/a
sTa1	-42.435	-20.456	-18.612	n/a
sTa2	-51.330	-23.438	-16.794	n/a
sTa3	-57.255	-24.880	-9.740	n/a
sTa4	-58.890	-23.817	-0.708	n/a
sTa5	-39.379	-29.962	-18.054	n/a
sTa6	-48.453	-32.722	-15.780	n/a
sTa7	-54.313	-34.052	-8.984	n/a
sTa8	-55.181	-34.072	0.937	n/a
sTv1	-36.566	47.672	4.886	n/a
sTv2	-28.503	45.021	0.232	n/a
sTv3	-23.870	40.468	-6.708	n/a
sTv4	-24.334	34.219	-13.579	n/a
sTv5	-29.020	27.545	-18.400	n/a
sTv6	-36.335	21.061	-20.378	n/a
sTv7	-43.522	14.947	-19.503	n/a
sTv8	-51.014	9.186	-15.974	n/a
C01	-51.826	35.356	45.133	n/a
C02	-52.826	25.356	43.133	n/a
C03	-56.826	16.356	42.133	n/a
C04	-57.826	6.356	40.133	n/a
C05	-57.826	-3.644	39.133	n/a
C06	-59.826	-10.644	33.133	n/a
C07	-56.826	-23.644	31.133	n/a
C08	-56.826	-30.644	30.133	n/a
