name	x	y	z	size
CP01	-43.107	-73.893	-20.233	n/a
CP02	-51.107	-64.893	-17.233	n/a
CP03	-56.107	-57.893	-13.233	n/a
CP04	-61.107	-49.893	-10.233	n/a
CP05	-65.107	-39.893	-6.233	n/a
CP06	-66.107	-29.893	-5.233	n/a
CP07	-67.107	-18.893	-5.233	n/a
CP08	-65.107	-7.893	-3.233	n/a
CP09	-43.107	-75.893	-11.233	n/a
CP10	-49.107	-68.893	-7.233	n/a
CP11	-55.107	-58.893	-5.233	n/a
CP12	-60.107	-50.893	0.767	n/a
CP13	-64.107	-41.893	2.767	n/a
CP14	-66.107	-31.893	4.767	n/a
CP15	-67.107	-21.893	5.767	n/a
CP16	-66.107	-10.893	5.767	n/a
CP17	-40.107	-77.893	-0.233	n/a
CP18	-48.107	-70.893	2.767	n/a
CP19	-56.107	-59.893	4.767	n/a
CP20	-59.107	-50.893	6.767	n/a
CP21	-62.107	-42.893	8.767	n/a
CP22	-65.107	-33.893	10.767	n/a
CP23	-64.107	-23.893	14.767	n/a
CP24	-65.107	-12.893	15.767	n/a
CP25	-37.107	-79.893	9.767	n/a
CP26	-45.107	-72.893	13.767	n/a
CP27	-54.107	-64.893	14.767	n/a
CP28	-59.107	-54.893	15.767	n/a
CP29	-62.107	-44.893	16.767	n/a
CP30	-64.107	-35.893	19.767	n/a
CP31	-65.107	-25.893	22.767	n/a
CP32	-65.107	-15.893	24.767	n/a
CP33	-32.107	-78.893	18.767	n/a
CP34	-41.107	-72.893	23.767	n/a
CP35	-48.107	-65.893	25.767	n/a
CP36	-55.107	-56.893	27.767	n/a
CP37	-58.107	-46.893	30.767	n/a
CP38	-62.107	-36.893	31.767	n/a
CP39	-64.107	-26.893	31.767	n/a
CP40	-64.107	-15.893	30.767	n/a
CP41	-26.107	-78.893	25.767	n/a
CP42	-36.107	-71.893	31.767	n/a
CP43	-43.107	-63.893	35.767	n/a
CP44	-48.107	-54.893	38.767	n/a
CP45	-52.107	-44.893	40.767	n/a
CP46	-56.107	-35.893	41.767	n/a
CP47	-59.107	-26.893	41.767	n/a
CP48	-58.107	-14.893	40.767	n/a
CP49	-19.107	-74.893	35.767	n/a
CP50	-28.107	-68.893	40.767	n/a
CP51	-36.107	-62.893	44.767	n/a
CP52	-41.107	-53.893	46.767	n/a
CP53	-45.107	-42.893	46.767	n/a
CP54	-48.107	-34.893	49.767	n/a
CP55	-52.107	-24.893	50.767	n/a
CP56	-52.107	-13.893	48.767	n/a
CP57	-12.107	-71.893	43.767	n/a
CP58	-21.107	-67.893	47.767	n/a
CP59	-28.107	-59.893	51.767	n/a
CP60	-34.107	-51.893	53.767	n/a
CP61	-38.107	-41.893	54.767	n/a
CP62	-42.107	-31.893	56.767	n/a
CP63	-43.107	-21.893	56.767	n/a
CP64	-44.107	-11.893	54.767	n/a
FM01	-30.107	59.107	41.767	n/a
FM02	-37.107	51.107	42.767	n/a
FM03	-42.107	42.107	42.767	n/a
FM04	-47.107	33.107	42.767	n/a
FM05	-51.107	24.107	41.767	n/a
FM06	-53.107	14.107	39.767	n/a
FM07	-56.107	5.107	39.767	n/a
FM08	-60.107	-3.893	36.767	n/a
FM09	-34.107	61.107	33.767	n/a
FM10	-41.107	53.107	33.767	n/a
FM11	-46.107	45.107	34.767	n/a
FM12	-50.107	36.107	33.767	n/a
FM13	-55.107	26.107	33.767	n/a
FM14	-58.107	17.107	31.767	n/a
FM15	-61.107	8.107	30.767	n/a
FM16	-63.107	-1.893	28.767	n/a
FL01	-31.107	64.107	28.767	n/a
FL02	-40.107	57.107	27.767	n/a
FL03	-45.107	49.107	27.767	n/a
FL04	-51.107	41.107	26.767	n/a
FL05	-55.107	32.107	23.767	n/a
FL06	-58.107	22.107	22.767	n/a
FL07	-61.107	13.107	20.767	n/a
FL08	-62.107	4.107	19.767	n/a
FL09	-32.107	65.107	16.767	n/a
FL10	-40.107	59.107	17.767	n/a
FL11	-46.107	51.107	16.767	n/a
FL12	-52.107	43.107	15.767	n/a
FL13	-54.107	32.107	13.767	n/a
FL14	-54.107	23.107	12.767	n/a
FL15	-59.107	13.107	10.767	n/a
FL16	-61.107	5.107	10.767	n/a
iH1	0.893	-20.893	41.767	n/a
iH2	-0.107	-29.893	46.767	n/a
iH3	-1.107	-37.893	51.767	n/a
iH4	-4.107	-45.893	55.767	n/a
iH5	-11.107	-51.893	56.767	n/a
iH6	-20.107	-52.893	55.767	n/a
iH7	-29.107	-53.893	50.767	n/a
iH8	-36.107	-51.893	43.767	n/a
