name	x	y	z	size	impedance
F01	1.288	65.522	37.832	0.000	0.000
F02	-17.712	69.522	41.832	0.000	0.000
F03	-23.712	60.522	41.832	0.000	0.000
F04	-29.712	52.522	42.832	0.000	0.000
F05	-34.712	41.522	42.832	0.000	0.000
F06	-38.712	34.522	41.832	0.000	0.000
F07	-41.712	25.522	41.832	0.000	0.000
F08	-46.712	17.522	40.832	0.000	0.000
F09	-11.712	76.522	30.832	0.000	0.000
F10	-20.712	71.522	31.832	0.000	0.000
F11	-29.712	64.522	32.832	0.000	0.000
F12	-34.712	55.522	33.832	0.000	0.000
F13	-38.712	45.522	33.832	0.000	0.000
F14	-42.712	35.522	33.832	0.000	0.000
F15	-46.712	28.522	32.832	0.000	0.000
F16	-47.712	19.522	30.832	0.000	0.000
F17	-11.712	76.522	20.832	0.000	0.000
F18	-21.712	72.522	19.832	0.000	0.000
F19	-30.712	67.522	20.832	0.000	0.000
F20	-38.712	58.522	21.832	0.000	0.000
F21	-43.712	48.522	22.832	0.000	0.000
F22	-48.712	37.522	23.832	0.000	0.000
F23	-49.712	28.522	22.832	0.000	0.000
F24	-52.712	21.522	20.832	0.000	0.000
F25	-8.712	73.522	11.832	0.000	0.000
F26	-14.712	66.522	11.832	0.000	0.000
F27	-22.712	59.522	9.832	0.000	0.000
F28	-36.712	59.522	11.832	0.000	0.000
F29	-43.712	50.522	10.832	0.000	0.000
F30	-47.712	39.522	12.832	0.000	0.000
F31	-43.712	27.522	8.832	0.000	0.000
F32	-53.712	19.522	11.832	0.000	0.000
IH01	1.288	36.522	44.832	0.000	0.000
IH02	2.288	42.522	53.832	0.000	0.000
IH03	-0.712	45.522	59.832	0.000	0.000
IH04	-6.712	45.522	59.832	0.000	0.000
IH05	-15.712	41.522	57.832	0.000	0.000
IH06	-21.712	36.522	52.832	0.000	0.000
IH07	-29.712	32.522	47.832	0.000	0.000
IH08	-39.712	28.522	42.832	0.000	0.000
IH09	3.288	45.522	39.832	0.000	0.000
IH10	1.288	50.522	48.832	0.000	0.000
IH11	-0.712	54.522	54.832	0.000	0.000
IH12	-7.712	53.522	55.832	0.000	0.000
IH13	-16.712	50.522	53.832	0.000	0.000
IH14	-23.712	45.522	48.832	0.000	0.000
IH15	-34.712	41.522	42.832	0.000	0.000
IH16	-40.712	36.522	36.832	0.000	0.000
T01	-58.712	-24.478	-34.168	0.000	0.000
T02	-61.712	-15.478	-29.168	0.000	0.000
T03	-61.712	-6.478	-25.168	0.000	0.000
T04	-63.712	2.522	-18.168	0.000	0.000
T05	-61.712	12.522	-13.168	0.000	0.000
T06	-56.712	18.522	-6.168	0.000	0.000
T07	-52.712	24.522	-0.168	0.000	0.000
T08	-40.712	30.522	2.832	0.000	0.000
T09	-61.712	-30.478	-25.168	0.000	0.000
T10	-63.712	-20.478	-20.168	0.000	0.000
T11	-62.712	-12.478	-14.168	0.000	0.000
T12	-63.712	-3.478	-9.168	0.000	0.000
T13	-60.712	4.522	-4.168	0.000	0.000
T14	-56.712	12.522	1.832	0.000	0.000
T15	-53.712	18.522	7.832	0.000	0.000
T16	-50.712	25.522	13.832	0.000	0.000
sT1	-45.712	-30.478	-38.168	0.000	0.000
sT2	-49.712	-21.478	-38.168	0.000	0.000
sT3	-54.712	-12.478	-35.168	0.000	0.000
sT4	-58.712	-5.478	-30.168	0.000	0.000
sT5	-60.712	2.522	-24.168	0.000	0.000
sT6	-61.712	8.522	-17.168	0.000	0.000
sT7	-58.712	11.522	-5.168	0.000	0.000
sT8	-55.712	12.522	3.832	0.000	0.000
sF1	-11.712	57.522	0.832	0.000	0.000
sF2	-20.712	56.522	6.832	0.000	0.000
sF3	-32.712	60.522	9.832	0.000	0.000
sF4	-40.712	56.522	16.832	0.000	0.000
sF5	-14.712	48.522	-3.168	0.000	0.000
sF6	-23.712	48.522	0.832	0.000	0.000
sF7	-32.712	50.522	3.832	0.000	0.000
sF8	-43.712	50.522	9.832	0.000	0.000
