name	x	y	z	size	impedance
OR01	-0.631	43.077	-29.242	0.000	0.000
OR02	-11.631	49.077	-31.242	0.000	0.000
OR03	-21.631	51.077	-29.242	0.000	0.000
OR04	-29.631	53.077	-28.242	0.000	0.000
OR05	-35.631	56.077	-24.242	0.000	0.000
OR06	-43.631	57.077	-20.242	0.000	0.000
OR07	-47.631	55.077	-10.242	0.000	0.000
OR08	-46.631	51.077	-2.242	0.000	0.000
OR09	-1.631	32.077	-27.242	0.000	0.000
OR10	-15.631	41.077	-37.242	0.000	0.000
OR11	-24.631	43.077	-32.242	0.000	0.000
OR12	-31.631	46.077	-31.242	0.000	0.000
OR13	-40.631	49.077	-30.242	0.000	0.000
OR14	-47.631	48.077	-25.242	0.000	0.000
OR15	-50.631	46.077	-16.242	0.000	0.000
OR16	-53.631	43.077	-6.242	0.000	0.000
F17	-20.631	55.077	17.758	0.000	0.000
F18	-26.631	46.077	19.758	0.000	0.000
F19	-29.631	39.077	22.758	0.000	0.000
F20	-35.631	30.077	25.758	0.000	0.000
F21	-39.631	19.077	26.758	0.000	0.000
F22	-41.631	10.077	27.758	0.000	0.000
F23	-46.631	1.077	29.758	0.000	0.000
F24	-46.631	-8.923	29.758	0.000	0.000
F25	-28.631	57.077	10.758	0.000	0.000
F26	-33.631	49.077	13.758	0.000	0.000
F27	-40.631	41.077	18.758	0.000	0.000
F28	-44.631	33.077	17.758	0.000	0.000
F29	-45.631	21.077	18.758	0.000	0.000
F30	-49.631	12.077	20.758	0.000	0.000
F31	-54.631	3.077	22.758	0.000	0.000
F32	-56.631	-6.923	23.758	0.000	0.000
F33	-34.631	58.077	2.758	0.000	0.000
F34	-39.631	50.077	5.758	0.000	0.000
F35	-47.631	42.077	8.758	0.000	0.000
F36	-52.631	34.077	10.758	0.000	0.000
F37	-54.631	24.077	11.758	0.000	0.000
F38	-58.631	14.077	13.758	0.000	0.000
F39	-60.631	4.077	14.758	0.000	0.000
F40	-63.631	-5.923	15.758	0.000	0.000
F41	-39.631	60.077	-5.242	0.000	0.000
F42	-47.631	51.077	-4.242	0.000	0.000
F43	-50.631	44.077	-2.242	0.000	0.000
F44	-56.631	34.077	0.758	0.000	0.000
F45	-58.631	24.077	1.758	0.000	0.000
F46	-63.631	15.077	3.758	0.000	0.000
F47	-65.631	5.077	5.758	0.000	0.000
F48	-68.631	-5.923	6.758	0.000	0.000
F49	-42.631	59.077	-16.242	0.000	0.000
F50	-48.631	51.077	-15.242	0.000	0.000
F51	-53.631	41.077	-12.242	0.000	0.000
F52	-58.631	32.077	-10.242	0.000	0.000
F53	-58.631	22.077	-10.242	0.000	0.000
F54	-65.631	13.077	-6.242	0.000	0.000
F55	-68.631	3.077	-5.242	0.000	0.000
F56	-69.631	-5.923	-3.242	0.000	0.000
F57	-40.631	55.077	-25.242	0.000	0.000
F58	-47.631	45.077	-25.242	0.000	0.000
F59	-51.631	38.077	-22.242	0.000	0.000
F60	-52.631	28.077	-20.242	0.000	0.000
F61	-57.631	19.077	-19.242	0.000	0.000
F62	-61.631	10.077	-17.242	0.000	0.000
F63	-67.631	2.077	-15.242	0.000	0.000
F64	-69.631	-8.923	-12.242	0.000	0.000
ST1	-20.631	-18.923	-44.242	0.000	0.000
ST2	-21.631	-10.923	-50.242	0.000	0.000
ST3	-23.631	-2.923	-53.242	0.000	0.000
ST4	-27.631	5.077	-54.242	0.000	0.000
ST5	-31.631	12.077	-56.242	0.000	0.000
ST6	-37.631	15.077	-59.242	0.000	0.000
ST7	-35.631	17.077	-56.242	0.000	0.000
ST8	-35.631	31.077	-43.242	0.000	0.000
iH1	-20.631	23.077	33.758	0.000	0.000
iH2	-10.631	17.077	38.758	0.000	0.000
iH3	-6.631	8.077	35.758	0.000	0.000
iH4	-5.631	-0.923	30.758	0.000	0.000
iH5	-4.631	-8.923	25.758	0.000	0.000
iH6	-5.631	-15.923	18.758	0.000	0.000
iH7	-5.631	-23.923	12.758	0.000	0.000
iH8	-5.631	-31.923	6.758	0.000	0.000
Di1	-31.561	20.965	-18.181	0.000	0.000
Di2	-32.929	22.846	-13.551	0.000	0.000
Di3	-34.419	24.775	-9.133	0.000	0.000
Di4	-36.009	26.539	-4.814	0.000	0.000
Di5	-37.872	28.016	-0.099	0.000	0.000
Di6	-40.109	28.985	4.177	0.000	0.000
Di7	-42.473	28.923	8.695	0.000	0.000
Di8	-45.057	27.352	12.648	0.000	0.000
Ds1	-14.745	19.229	-7.148	0.000	0.000
Ds2	-17.629	21.094	-3.137	0.000	0.000
Ds3	-20.662	22.956	0.658	0.000	0.000
Ds4	-24.048	24.648	4.040	0.000	0.000
Ds5	-27.464	25.930	7.354	0.000	0.000
Ds6	-31.348	27.018	10.647	0.000	0.000
Ds7	-35.747	27.390	13.523	0.000	0.000
Ds8	-40.350	26.991	16.023	0.000	0.000
