name	x	y	z	size	impedance
P01	-57.966	15.570	50.479	0.000	0.000
P02	-56.966	6.570	55.479	0.000	0.000
P03	-56.966	-2.430	59.479	0.000	0.000
P04	-55.966	-10.430	64.479	0.000	0.000
P05	-55.966	-20.430	68.479	0.000	0.000
P06	-51.966	-30.430	72.479	0.000	0.000
P07	-47.966	-39.430	74.479	0.000	0.000
P08	-44.966	-49.430	75.479	0.000	0.000
P09	-60.966	11.570	42.479	0.000	0.000
P10	-61.966	2.570	48.479	0.000	0.000
P11	-62.966	-6.430	52.479	0.000	0.000
P12	-61.966	-15.430	56.479	0.000	0.000
P13	-61.966	-25.430	60.479	0.000	0.000
P14	-59.966	-34.430	64.479	0.000	0.000
P15	-54.966	-43.430	67.479	0.000	0.000
P16	-48.966	-51.430	68.479	0.000	0.000
P17	-62.966	7.570	33.479	0.000	0.000
P18	-64.966	-1.430	37.479	0.000	0.000
P19	-65.966	-11.430	42.479	0.000	0.000
P20	-65.966	-20.430	47.479	0.000	0.000
P21	-65.966	-29.430	51.479	0.000	0.000
P22	-62.966	-39.430	55.479	0.000	0.000
P23	-57.966	-48.430	58.479	0.000	0.000
P24	-52.966	-56.430	61.479	0.000	0.000
P25	-60.966	2.570	23.479	0.000	0.000
P26	-63.966	-5.430	27.479	0.000	0.000
P27	-66.966	-15.430	32.479	0.000	0.000
P28	-66.966	-24.430	37.479	0.000	0.000
P29	-66.966	-34.430	41.479	0.000	0.000
P30	-63.966	-43.430	45.479	0.000	0.000
P31	-59.966	-52.430	48.479	0.000	0.000
P32	-53.966	-60.430	52.479	0.000	0.000
P33	-59.966	-1.430	15.479	0.000	0.000
P34	-61.966	-10.430	19.479	0.000	0.000
P35	-63.966	-19.430	24.479	0.000	0.000
P36	-62.966	-28.430	28.479	0.000	0.000
P37	-63.966	-38.430	31.479	0.000	0.000
P38	-61.966	-48.430	35.479	0.000	0.000
P39	-57.966	-55.430	38.479	0.000	0.000
P40	-52.966	-64.430	42.479	0.000	0.000
P41	-58.966	-5.430	6.479	0.000	0.000
P42	-60.966	-15.430	10.479	0.000	0.000
P43	-62.966	-22.430	13.479	0.000	0.000
P44	-62.966	-32.430	20.479	0.000	0.000
P45	-60.966	-43.430	21.479	0.000	0.000
P46	-58.966	-51.430	25.479	0.000	0.000
P47	-55.966	-59.430	29.479	0.000	0.000
P48	-51.966	-67.430	32.479	0.000	0.000
T49	-50.966	2.570	-6.521	0.000	0.000
T50	-56.966	-5.430	-4.521	0.000	0.000
T51	-59.966	-15.430	-1.521	0.000	0.000
T52	-61.966	-24.430	4.479	0.000	0.000
T53	-61.966	-34.430	7.479	0.000	0.000
T54	-61.966	-42.430	12.479	0.000	0.000
T55	-57.966	-51.430	18.479	0.000	0.000
T56	-55.966	-60.430	22.479	0.000	0.000
T57	-48.966	-2.430	-14.521	0.000	0.000
T58	-52.966	-11.430	-12.521	0.000	0.000
T59	-54.966	-20.430	-8.521	0.000	0.000
T60	-58.966	-29.430	-5.521	0.000	0.000
T61	-59.966	-37.430	-0.521	0.000	0.000
T62	-57.966	-46.430	3.479	0.000	0.000
T63	-54.966	-55.430	9.479	0.000	0.000
T64	-51.966	-63.430	14.479	0.000	0.000
Dv1	-26.366	-28.630	35.479	0.000	0.000
Dv2	-31.133	-29.264	34.479	0.000	0.000
Dv3	-35.966	-29.597	34.312	0.000	0.000
Dv4	-40.841	-30.430	33.729	0.000	0.000
Dv5	-45.800	-30.597	33.479	0.000	0.000
Dv6	-50.591	-31.180	32.979	0.000	0.000
Dv7	-55.466	-30.430	32.479	0.000	0.000
Dv8	-60.466	-29.430	31.479	0.000	0.000
Da1	-25.252	-45.430	42.479	0.000	0.000
Da2	-29.966	-44.430	41.479	0.000	0.000
Da3	-34.566	-43.630	40.479	0.000	0.000
Da4	-39.366	-41.830	39.679	0.000	0.000
Da5	-44.078	-40.875	38.924	0.000	0.000
Da6	-49.091	-40.555	38.479	0.000	0.000
Da7	-53.966	-40.716	38.479	0.000	0.000
Da8	-58.466	-41.430	39.479	0.000	0.000
