name	x	y	z	size
F01	-38.009	76.291	52.286	4.155
F02	-43.009	64.291	55.286	4.155
F03	-46.009	54.291	57.286	4.155
F04	-48.009	45.291	60.286	4.155
F05	-50.009	35.291	61.286	4.155
F06	-55.009	25.291	64.286	4.155
F07	-56.009	14.291	64.286	4.155
F08	-55.009	5.291	65.286	4.155
F09	-43.009	74.291	44.286	4.155
F10	-48.009	64.291	46.286	4.155
F11	-51.009	54.291	48.286	4.155
F12	-54.009	44.291	50.286	4.155
F13	-57.009	34.291	52.286	4.155
F14	-59.009	23.291	54.286	4.155
F15	-59.009	12.291	56.286	4.155
F16	-60.009	2.291	56.286	4.155
F17	-49.009	70.291	34.286	4.155
F18	-53.009	61.291	35.286	4.155
F19	-53.009	50.291	36.286	4.155
F20	-55.009	41.291	38.286	4.155
F21	-60.009	32.291	41.286	4.155
F22	-61.009	21.291	43.286	4.155
F23	-63.009	11.291	46.286	4.155
F24	-63.009	0.291	47.286	4.155
F25	-50.009	67.291	22.286	4.155
F26	-52.009	57.291	24.286	4.155
F27	-48.009	47.291	24.286	4.155
F28	-56.009	39.291	28.286	4.155
F29	-60.009	30.291	31.286	4.155
F30	-61.009	20.291	33.286	4.155
F31	-62.009	9.291	35.286	4.155
F32	-62.009	-0.709	36.286	4.155
F33	-3.009	80.291	62.286	4.155
F34	-6.009	73.291	70.286	4.155
F35	-9.009	65.291	75.286	4.155
F36	-13.009	55.291	79.286	4.155
F37	-15.009	46.291	82.286	4.155
F38	-14.009	36.291	85.286	4.155
F39	-15.009	27.291	87.286	4.155
F40	-15.009	17.291	91.286	4.155
F41	-16.009	83.291	60.286	4.155
F42	-20.009	74.291	67.286	4.155
F43	-21.009	64.291	73.286	4.155
F44	-25.009	56.291	75.286	4.155
F45	-25.009	46.291	79.286	4.155
F46	-26.009	36.291	82.286	4.155
F47	-26.009	26.291	84.286	4.155
F48	-24.009	16.291	86.286	4.155
F49	-28.009	82.291	54.286	4.155
F50	-31.009	74.291	60.286	4.155
F51	-32.009	66.291	66.286	4.155
F52	-34.009	55.291	69.286	4.155
F53	-35.009	45.291	74.286	4.155
F54	-36.009	36.291	78.286	4.155
F55	-36.009	25.291	81.286	4.155
F56	-34.009	14.291	81.286	4.155
F57	-36.009	81.291	48.286	4.155
F58	-39.009	73.291	55.286	4.155
F59	-41.009	62.291	59.286	4.155
F60	-42.009	53.291	64.286	4.155
F61	-44.009	44.291	68.286	4.155
F62	-43.009	34.291	72.286	4.155
F63	-43.009	23.291	74.286	4.155
F64	-43.009	13.291	77.286	4.155
