filename	acq_time
ieeg/sub-51_ses-iemu_task-film_acq-clinical_run-1_ieeg.eeg	1900-01-04T12:37:48
ieeg/sub-51_ses-iemu_task-rest_acq-clinical_run-1_ieeg.eeg	1900-01-05T10:33:14
