name	x	y	z	size
T01	-44.604	37.135	-23.889	n/a
T02	-57.604	36.135	-22.889	n/a
T03	-63.604	25.135	-23.889	n/a
T04	-69.604	14.135	-22.889	n/a
T05	-74.604	4.135	-21.889	n/a
T06	-76.604	-3.865	-16.889	n/a
T07	-77.604	-12.865	-15.889	n/a
T08	-77.604	-25.865	-18.889	n/a
T09	-43.604	33.135	-32.889	n/a
T10	-53.604	29.135	-33.889	n/a
T11	-62.604	23.135	-33.889	n/a
T12	-66.604	12.135	-32.889	n/a
T13	-63.604	2.135	-31.889	n/a
T14	-75.604	-3.865	-26.889	n/a
T15	-74.604	-15.865	-27.889	n/a
T16	-75.604	-25.865	-27.889	n/a
tH1	-42.604	49.135	-4.889	n/a
tH2	-50.604	44.135	-11.889	n/a
tH3	-58.604	36.135	-11.889	n/a
tH4	-62.604	27.135	-8.889	n/a
tH5	-67.604	16.135	-10.889	n/a
tH6	-69.604	8.135	-8.889	n/a
tH7	-70.604	-0.865	-4.889	n/a
tH8	-73.604	-9.865	-1.889	n/a
F33	-28.604	18.135	60.111	n/a
F34	-38.604	21.135	56.111	n/a
F35	-46.604	23.135	49.111	n/a
F36	-55.604	25.135	43.111	n/a
F37	-62.604	26.135	34.111	n/a
F38	-68.604	26.135	25.111	n/a
F39	-70.604	27.135	13.111	n/a
F40	-68.604	27.135	2.111	n/a
F41	-25.604	28.135	59.111	n/a
F42	-34.604	29.135	53.111	n/a
F43	-43.604	33.135	49.111	n/a
F44	-51.604	34.135	42.111	n/a
F45	-59.604	36.135	35.111	n/a
F46	-65.604	37.135	25.111	n/a
F47	-67.604	38.135	13.111	n/a
F48	-67.604	37.135	2.111	n/a
FB49	-24.604	48.135	-10.889	n/a
FB50	-33.604	48.135	-7.889	n/a
FB51	-42.604	49.135	-4.889	n/a
FB52	-53.604	54.135	-7.889	n/a
FB53	-61.604	54.135	2.111	n/a
FB54	-62.604	52.135	13.111	n/a
FB55	-59.604	51.135	24.111	n/a
FB56	-55.604	48.135	32.111	n/a
FB57	-26.604	39.135	-14.889	n/a
FB58	-35.604	42.135	-12.889	n/a
FB59	-46.604	44.135	-12.889	n/a
FB60	-58.604	43.135	-9.889	n/a
FB61	-66.604	42.135	0.111	n/a
FB62	-66.604	42.135	11.111	n/a
FB63	-64.604	41.135	22.111	n/a
FB64	-60.604	40.135	32.111	n/a
vT1	4.126	33.672	-13.013	n/a
vT2	-5.430	34.652	-15.337	n/a
vT3	-16.604	35.135	-13.889	n/a
vT4	-25.604	36.135	-15.889	n/a
vT5	-35.604	38.135	-15.889	n/a
vT6	-44.604	39.135	-17.889	n/a
vT7	-56.604	35.135	-16.889	n/a
vT8	-64.604	26.135	-13.889	n/a
aT1	-24.604	-13.865	-29.889	n/a
aT2	-24.604	-4.865	-30.889	n/a
aT3	-25.604	6.135	-32.889	n/a
aT4	-28.604	15.135	-33.889	n/a
aT5	-30.604	24.135	-32.889	n/a
aT6	-37.604	33.135	-30.889	n/a
aT7	-46.604	36.135	-26.889	n/a
aT8	-56.604	35.135	-17.889	n/a
sT1	-25.604	13.135	-25.889	n/a
sT2	-31.604	16.135	-35.889	n/a
sT3	-37.604	18.135	-40.889	n/a
sT4	-47.604	18.135	-42.889	n/a
sT5	-55.604	14.135	-40.889	n/a
sT6	-61.604	10.135	-34.889	n/a
sT7	-65.604	4.135	-30.889	n/a
sT8	-75.604	-0.865	-19.889	n/a
