name	x	y	z	size	impedance
AIR1	40.865	35.334	4.152	0.000	0.000
AIR2	39.104	36.203	7.485	0.000	0.000
AIR3	38.318	37.015	10.775	0.000	0.000
AIR4	37.076	38.330	14.194	0.000	0.000
AIR5	36.227	38.890	16.401	0.000	0.000
AIR6	34.954	39.731	19.712	0.000	0.000
AIR7	33.712	41.046	23.131	0.000	0.000
AIR8	32.863	41.606	25.339	0.000	0.000
AIR9	32.077	42.418	28.628	0.000	0.000
AIR10	30.803	43.259	31.939	0.000	0.000
AIR11	29.105	44.379	36.354	0.000	0.000
AIR12	28.288	45.414	38.669	0.000	0.000
AIR13	27.015	46.254	41.980	0.000	0.000
AIR14	26.228	47.067	45.270	0.000	0.000
AIR15	24.562	48.662	49.793	0.000	0.000
AR1	13.488	17.761	-16.456	0.000	0.000
AR2	16.931	18.740	-17.366	0.000	0.000
AR3	19.854	19.271	-18.363	0.000	0.000
AR4	23.751	19.747	-19.403	0.000	0.000
AR5	27.162	20.250	-20.421	0.000	0.000
AR6	30.117	21.257	-21.310	0.000	0.000
AR7	33.527	21.760	-22.328	0.000	0.000
AR8	36.481	22.069	-22.350	0.000	0.000
AR9	39.892	22.572	-23.369	0.000	0.000
AR10	43.302	23.076	-24.387	0.000	0.000
AR11	46.712	23.579	-25.405	0.000	0.000
AR12	50.123	24.083	-26.423	0.000	0.000
IPR1	36.810	15.428	-6.433	0.000	0.000
IPR2	35.864	13.864	-3.682	0.000	0.000
IPR3	34.918	12.301	-0.931	0.000	0.000
IPR4	34.490	10.486	2.773	0.000	0.000
IPR5	33.575	9.398	5.632	0.000	0.000
IPR6	32.660	7.612	9.357	0.000	0.000
IPR7	32.233	6.496	12.194	0.000	0.000
IPR8	31.319	5.407	15.053	0.000	0.000
IPR9	30.373	3.844	17.804	0.000	0.000
IPR10	29.914	2.252	20.533	0.000	0.000
IPR11	29.030	0.941	24.366	0.000	0.000
IPR12	28.084	-0.622	27.117	0.000	0.000
IPR13	27.169	-2.409	30.842	0.000	0.000
IPR14	26.255	-3.497	33.701	0.000	0.000
IPR15	25.858	-4.836	37.512	0.000	0.000
AHR1	24.631	7.620	-17.073	0.000	0.000
AHR2	27.617	8.403	-16.988	0.000	0.000
AHR3	31.177	9.015	-15.933	0.000	0.000
AHR4	34.481	9.650	-15.527	0.000	0.000
AHR5	37.910	10.161	-14.856	0.000	0.000
AHR6	41.601	10.757	-13.809	0.000	0.000
AHR7	45.074	11.513	-13.746	0.000	0.000
AHR8	48.545	11.571	-12.815	0.000	0.000
AHR9	51.531	12.354	-12.730	0.000	0.000
AHR10	55.035	12.887	-11.691	0.000	0.000
PHR1	30.746	-7.356	-6.655	0.000	0.000
PHR2	34.051	-7.745	-6.516	0.000	0.000
PHR3	37.929	-8.382	-5.757	0.000	0.000
PHR4	40.819	-9.024	-5.995	0.000	0.000
PHR5	44.746	-9.470	-5.194	0.000	0.000
PHR6	51.562	-10.557	-4.630	0.000	0.000
