name	x	y	z	size	impedance
F01	-8.696	53.884	72.333	0.000	0.000
F02	-15.696	46.884	71.333	0.000	0.000
F03	-23.696	38.884	70.333	0.000	0.000
F04	-31.696	32.884	67.333	0.000	0.000
F05	-38.696	24.884	65.333	0.000	0.000
F06	-43.696	17.884	60.333	0.000	0.000
F07	-48.696	8.884	57.333	0.000	0.000
F08	-53.696	0.884	52.333	0.000	0.000
F09	-12.696	60.884	66.333	0.000	0.000
F10	-21.696	51.884	66.333	0.000	0.000
F11	-28.696	47.884	64.333	0.000	0.000
F12	-35.696	36.884	61.333	0.000	0.000
F13	-41.696	31.884	56.333	0.000	0.000
F14	-46.696	21.884	53.333	0.000	0.000
F15	-51.696	13.884	49.333	0.000	0.000
F16	-54.696	6.884	44.333	0.000	0.000
F17	-18.696	66.884	59.333	0.000	0.000
F18	-26.696	59.884	59.333	0.000	0.000
F19	-34.696	51.884	57.333	0.000	0.000
F20	-41.696	44.884	53.333	0.000	0.000
F21	-45.696	36.884	49.333	0.000	0.000
F22	-50.696	27.884	44.333	0.000	0.000
F23	-54.696	19.884	40.333	0.000	0.000
F24	-54.696	11.884	35.333	0.000	0.000
F25	-22.696	72.884	52.333	0.000	0.000
F26	-30.696	65.884	51.333	0.000	0.000
F27	-37.696	57.884	48.333	0.000	0.000
F28	-43.696	49.884	45.333	0.000	0.000
F29	-49.696	41.884	41.333	0.000	0.000
F30	-51.696	32.884	35.333	0.000	0.000
F31	-53.696	25.884	30.333	0.000	0.000
F32	-54.696	15.884	25.333	0.000	0.000
F33	-24.696	77.884	44.333	0.000	0.000
F34	-33.696	70.884	42.333	0.000	0.000
F35	-40.696	63.884	39.333	0.000	0.000
F36	-45.696	54.884	34.333	0.000	0.000
F37	-51.696	46.884	32.333	0.000	0.000
F38	-51.696	36.884	25.333	0.000	0.000
F39	-51.696	29.884	21.333	0.000	0.000
F40	-53.696	20.884	16.333	0.000	0.000
F41	-24.696	81.884	34.333	0.000	0.000
F42	-34.696	75.884	33.333	0.000	0.000
F43	-40.696	66.884	29.333	0.000	0.000
F44	-44.696	59.884	26.333	0.000	0.000
F45	-48.696	51.884	21.333	0.000	0.000
F46	-50.696	42.884	16.333	0.000	0.000
F47	-46.696	32.884	13.333	0.000	0.000
F48	-50.696	24.884	8.333	0.000	0.000
DL1	-20.530	34.217	29.000	0.000	0.000
DL2	-24.125	34.312	32.904	0.000	0.000
DL3	-27.446	34.259	36.458	0.000	0.000
DL4	-30.553	34.312	39.904	0.000	0.000
DL5	-33.946	34.259	43.833	0.000	0.000
DL6	-36.946	35.259	47.833	0.000	0.000
DH1	-5.411	51.169	37.047	0.000	0.000
DH2	-9.030	53.384	39.833	0.000	0.000
DH3	-12.530	55.550	42.666	0.000	0.000
DH4	-16.296	57.484	45.533	0.000	0.000
DH5	-20.125	59.455	48.476	0.000	0.000
DH6	-23.863	60.217	51.000	0.000	0.000
