name	x	y	z	size	group	hemisphere
T01	-47.392	38.392	13.902	n/a	T	L
T02	-50.392	29.392	18.902	n/a	T	L
T03	-54.392	22.392	23.902	n/a	T	L
T04	-57.392	13.392	27.902	n/a	T	L
T05	-59.392	5.392	31.902	n/a	T	L
T06	-60.392	-3.608	34.902	n/a	T	L
T07	-60.392	-13.608	39.902	n/a	T	L
T08	-59.392	-21.608	42.902	n/a	T	L
T09	-45.392	33.392	7.902	n/a	T	L
T10	-51.392	27.392	10.902	n/a	T	L
T11	-56.392	17.392	14.902	n/a	T	L
T12	-59.392	10.392	18.902	n/a	T	L
T13	-61.392	2.392	21.902	n/a	T	L
T14	-62.392	-7.608	26.902	n/a	T	L
T15	-62.392	-16.608	30.902	n/a	T	L
T16	-61.392	-25.608	34.902	n/a	T	L
T17	-47.392	29.392	-2.098	n/a	T	L
T18	-52.392	23.392	1.902	n/a	T	L
T19	-57.392	14.392	5.902	n/a	T	L
T20	-60.392	7.392	8.902	n/a	T	L
T21	-63.392	-2.608	13.902	n/a	T	L
T22	-63.392	-11.608	17.902	n/a	T	L
T23	-63.392	-20.608	21.902	n/a	T	L
T24	-61.392	-30.608	26.902	n/a	T	L
T25	-45.392	25.392	-11.098	n/a	T	L
T26	-52.392	18.392	-7.098	n/a	T	L
T27	-58.392	10.392	-3.098	n/a	T	L
T28	-60.392	2.392	-0.098	n/a	T	L
T29	-64.392	-6.608	6.902	n/a	T	L
T30	-62.392	-15.608	6.902	n/a	T	L
T31	-62.392	-25.608	12.902	n/a	T	L
T32	-61.392	-34.608	16.902	n/a	T	L
PO33	-27.392	-37.608	6.902	n/a	PO	L
PO34	-37.392	-40.608	4.902	n/a	PO	L
PO35	-47.392	-42.608	6.902	n/a	PO	L
PO36	-55.392	-43.608	10.902	n/a	PO	L
PO37	-58.392	-41.608	19.902	n/a	PO	L
PO38	-58.392	-38.608	28.902	n/a	PO	L
PO39	-59.392	-32.608	38.902	n/a	PO	L
PO40	-57.392	-28.608	46.902	n/a	PO	L
PO41	-25.392	-47.608	7.902	n/a	PO	L
PO42	-35.392	-48.608	5.902	n/a	PO	L
PO43	-43.392	-51.608	7.902	n/a	PO	L
PO44	-50.392	-51.608	14.902	n/a	PO	L
PO45	-52.392	-49.608	23.902	n/a	PO	L
PO46	-54.392	-46.608	32.902	n/a	PO	L
PO47	-54.392	-41.608	42.902	n/a	PO	L
PO48	-54.392	-36.608	49.902	n/a	PO	L
P49	-21.392	-61.608	62.902	n/a	P	L
P50	-30.392	-56.608	64.902	n/a	P	L
P51	-39.392	-51.608	62.902	n/a	P	L
P52	-46.392	-43.608	61.902	n/a	P	L
P53	-50.392	-35.608	59.902	n/a	P	L
P54	-55.392	-27.608	55.902	n/a	P	L
P55	-58.392	-17.608	50.902	n/a	P	L
P56	-59.392	-9.608	46.902	n/a	P	L
P57	-17.392	-55.608	70.902	n/a	P	L
P58	-26.392	-50.608	70.902	n/a	P	L
P59	-34.392	-45.608	70.902	n/a	P	L
P60	-41.392	-38.608	70.902	n/a	P	L
P61	-48.392	-31.608	67.902	n/a	P	L
P62	-53.392	-22.608	63.902	n/a	P	L
P63	-56.392	-13.608	59.902	n/a	P	L
P64	-56.392	-3.608	55.902	n/a	P	L
vT1	0.608	73.392	-1.098	n/a	vT	L
vT2	-0.392	61.392	-6.098	n/a	vT	L
vT3	-1.392	52.392	-6.098	n/a	vT	L
vT4	-8.392	47.392	-6.098	n/a	vT	L
vT5	-17.392	44.392	-4.098	n/a	vT	L
vT6	-27.392	41.392	-2.098	n/a	vT	L
vT7	-35.392	40.392	-1.098	n/a	vT	L
vT8	-43.392	35.392	5.902	n/a	vT	L
sTv1	-15.392	19.392	-9.098	n/a	sTv	L
sTv2	-18.392	11.392	-15.098	n/a	sTv	L
sTv3	-24.392	3.392	-18.098	n/a	sTv	L
sTv4	-34.392	-0.608	-16.098	n/a	sTv	L
sTv5	-43.392	-2.608	-12.098	n/a	sTv	L
sTv6	-51.392	-4.608	-8.098	n/a	sTv	L
sTv7	-59.392	-7.608	-2.098	n/a	sTv	L
sTv8	-63.392	-6.608	4.902	n/a	sTv	L
sTa1	-3.392	-33.608	25.902	n/a	sTa	L
sTa2	-7.392	-31.608	20.902	n/a	sTa	L
sTa3	-13.392	-30.608	13.902	n/a	sTa	L
sTa4	-22.392	-29.608	8.902	n/a	sTa	L
sTa5	-29.392	-28.608	4.902	n/a	sTa	L
sTa6	-39.392	-27.608	2.902	n/a	sTa	L
sTa7	-49.392	-27.608	-0.098	n/a	sTa	L
sTa8	-57.392	-25.608	1.902	n/a	sTa	L
HP1	-20.392	-21.608	87.902	n/a	HP	L
HP2	-29.392	-23.608	82.902	n/a	HP	L
HP3	-36.392	-27.608	77.902	n/a	HP	L
HP4	-45.392	-29.608	71.902	n/a	HP	L
HP5	-23.392	-12.608	87.902	n/a	HP	L
HP6	-34.392	-15.608	82.902	n/a	HP	L
HP7	-40.392	-18.608	77.902	n/a	HP	L
HP8	-48.392	-20.608	70.902	n/a	HP	L
