name	x	y	z	size	impedance
F01	-17.418	89.595	51.585	0.000	0.000
F02	-22.418	83.595	55.585	0.000	0.000
F03	-29.418	76.595	60.585	0.000	0.000
F04	-31.418	67.595	63.585	0.000	0.000
F05	-34.418	58.595	65.585	0.000	0.000
F06	-36.418	49.595	68.585	0.000	0.000
F07	-41.418	39.595	72.585	0.000	0.000
F08	-41.418	28.595	72.585	0.000	0.000
F09	-23.418	90.595	45.585	0.000	0.000
F10	-30.418	84.595	49.585	0.000	0.000
F11	-35.418	76.595	53.585	0.000	0.000
F12	-38.418	68.595	57.585	0.000	0.000
F13	-44.418	58.595	59.585	0.000	0.000
F14	-46.418	49.595	61.585	0.000	0.000
F15	-47.418	38.595	63.585	0.000	0.000
F16	-48.418	28.595	65.585	0.000	0.000
F17	-28.418	88.595	36.585	0.000	0.000
F18	-38.418	86.595	40.585	0.000	0.000
F19	-43.418	78.595	45.585	0.000	0.000
F20	-46.418	68.595	48.585	0.000	0.000
F21	-50.418	58.595	50.585	0.000	0.000
F22	-52.418	48.595	52.585	0.000	0.000
F23	-54.418	38.595	54.585	0.000	0.000
F24	-54.418	27.595	55.585	0.000	0.000
F25	-30.418	89.595	27.585	0.000	0.000
F26	-42.418	84.595	30.585	0.000	0.000
F27	-46.418	75.595	35.585	0.000	0.000
F28	-50.418	65.595	38.585	0.000	0.000
F29	-53.418	56.595	41.585	0.000	0.000
F30	-56.418	46.595	42.585	0.000	0.000
F31	-56.418	37.595	43.585	0.000	0.000
F32	-57.418	27.595	46.585	0.000	0.000
T01	-50.418	-39.405	20.585	0.000	0.000
T02	-54.418	-32.405	16.585	0.000	0.000
T03	-58.418	-22.405	12.585	0.000	0.000
T04	-61.418	-13.405	10.585	0.000	0.000
T05	-63.418	-2.405	7.585	0.000	0.000
T06	-61.418	6.595	4.585	0.000	0.000
T07	-57.418	16.595	-0.415	0.000	0.000
T08	-53.418	23.595	-4.415	0.000	0.000
T09	-50.418	-37.405	30.585	0.000	0.000
T10	-55.418	-27.405	27.585	0.000	0.000
T11	-59.418	-20.405	23.585	0.000	0.000
T12	-60.418	-9.405	20.585	0.000	0.000
T13	-62.418	0.595	17.585	0.000	0.000
T14	-62.418	10.595	14.585	0.000	0.000
T15	-60.418	19.595	9.585	0.000	0.000
T16	-56.418	28.595	6.585	0.000	0.000
FBa1	-26.418	62.595	13.585	0.000	0.000
FBa2	-34.418	61.595	15.585	0.000	0.000
FBa3	-49.418	60.595	16.585	0.000	0.000
FBa4	-54.418	56.595	26.585	0.000	0.000
FBa5	-30.418	53.595	-6.415	0.000	0.000
FBa6	-37.418	50.595	6.585	0.000	0.000
FBa7	-44.418	47.595	19.585	0.000	0.000
FBa8	-52.418	46.595	25.585	0.000	0.000
FBv1	-11.418	76.595	9.585	0.000	0.000
FBv2	-20.418	78.595	14.585	0.000	0.000
FBv3	-29.418	79.595	19.585	0.000	0.000
FBv4	-36.418	83.595	23.585	0.000	0.000
FBv5	-13.418	66.595	8.585	0.000	0.000
FBv6	-23.418	68.595	13.585	0.000	0.000
FBv7	-30.418	70.595	17.585	0.000	0.000
FBv8	-41.418	73.595	20.585	0.000	0.000
