name	x	y	z	size	impedance
F01	-65.892	8.392	12.767	0.000	0.000
F02	-59.892	17.392	10.767	0.000	0.000
F03	-56.892	26.392	9.767	0.000	0.000
F04	-50.892	34.392	7.767	0.000	0.000
F05	-45.892	42.392	5.767	0.000	0.000
F06	-43.892	51.392	2.767	0.000	0.000
F07	-40.892	61.392	1.767	0.000	0.000
F08	-33.892	68.392	0.767	0.000	0.000
F09	-60.892	8.392	22.767	0.000	0.000
F10	-58.892	18.392	20.767	0.000	0.000
F11	-53.892	27.392	19.767	0.000	0.000
F12	-48.892	34.392	16.767	0.000	0.000
F13	-49.892	45.392	15.767	0.000	0.000
F14	-45.892	54.392	13.767	0.000	0.000
F15	-41.892	64.392	12.767	0.000	0.000
F16	-35.892	72.392	9.767	0.000	0.000
F17	-60.892	9.392	31.767	0.000	0.000
F18	-55.892	19.392	29.767	0.000	0.000
F19	-51.892	26.392	28.767	0.000	0.000
F20	-51.892	37.392	27.767	0.000	0.000
F21	-48.892	47.392	26.767	0.000	0.000
F22	-43.892	56.392	24.767	0.000	0.000
F23	-38.892	64.392	22.767	0.000	0.000
F24	-33.892	73.392	20.767	0.000	0.000
F25	-57.892	11.392	43.767	0.000	0.000
F26	-54.892	20.392	41.767	0.000	0.000
F27	-51.892	29.392	39.767	0.000	0.000
F28	-49.892	39.392	38.767	0.000	0.000
F29	-44.892	47.392	37.767	0.000	0.000
F30	-38.892	56.392	33.767	0.000	0.000
F31	-33.892	64.392	32.767	0.000	0.000
F32	-28.892	72.392	30.767	0.000	0.000
F33	-51.892	9.392	52.767	0.000	0.000
F34	-49.892	20.392	50.767	0.000	0.000
F35	-44.892	28.392	48.767	0.000	0.000
F36	-42.892	38.392	47.767	0.000	0.000
F37	-38.892	47.392	45.767	0.000	0.000
F38	-33.892	55.392	42.767	0.000	0.000
F39	-28.892	63.392	40.767	0.000	0.000
F40	-21.892	70.392	36.767	0.000	0.000
F41	-44.892	8.392	58.767	0.000	0.000
F42	-43.892	19.392	59.767	0.000	0.000
F43	-40.892	28.392	57.767	0.000	0.000
F44	-38.892	37.392	56.767	0.000	0.000
F45	-31.892	45.392	53.767	0.000	0.000
F46	-26.892	55.392	51.767	0.000	0.000
F47	-20.892	63.392	47.767	0.000	0.000
F48	-15.892	69.392	43.767	0.000	0.000
C49	-39.892	-49.608	53.767	0.000	0.000
C50	-43.892	-40.608	55.767	0.000	0.000
C51	-46.892	-31.608	58.767	0.000	0.000
C52	-48.892	-22.608	59.767	0.000	0.000
C53	-50.892	-11.608	59.767	0.000	0.000
C54	-52.892	-2.608	58.767	0.000	0.000
C55	-48.892	7.392	55.767	0.000	0.000
C56	-48.892	17.392	54.767	0.000	0.000
C57	-31.892	-48.608	58.767	0.000	0.000
C58	-34.892	-39.608	62.767	0.000	0.000
C59	-39.892	-30.608	64.767	0.000	0.000
C60	-42.892	-21.608	66.767	0.000	0.000
C61	-43.892	-12.608	67.767	0.000	0.000
C62	-43.892	-1.608	66.767	0.000	0.000
C63	-42.892	8.392	63.767	0.000	0.000
C64	-40.892	17.392	61.767	0.000	0.000
T01	-49.892	-48.608	-8.233	0.000	0.000
T02	-55.892	-40.608	-6.233	0.000	0.000
T03	-60.892	-31.608	-5.233	0.000	0.000
T04	-65.892	-22.608	-4.233	0.000	0.000
T05	-67.892	-13.608	-2.233	0.000	0.000
T06	-67.892	-3.608	-0.233	0.000	0.000
T07	-66.892	6.392	2.767	0.000	0.000
T08	-62.892	15.392	3.767	0.000	0.000
T09	-55.892	-52.608	-0.233	0.000	0.000
T10	-59.892	-43.608	1.767	0.000	0.000
T11	-63.892	-34.608	2.767	0.000	0.000
T12	-66.892	-24.608	5.767	0.000	0.000
T13	-66.892	-15.608	7.767	0.000	0.000
T14	-67.892	-5.608	9.767	0.000	0.000
T15	-65.892	4.392	12.767	0.000	0.000
T16	-62.892	13.392	12.767	0.000	0.000
sT1	-18.892	-30.608	2.767	0.000	0.000
sT2	-19.892	-21.608	0.767	0.000	0.000
sT3	-19.892	-11.608	-3.233	0.000	0.000
sT4	-19.892	-2.608	-7.233	0.000	0.000
sT5	-19.892	6.392	-11.233	0.000	0.000
sT6	-19.892	14.392	-15.233	0.000	0.000
sT7	-18.892	24.392	-19.233	0.000	0.000
sT8	-19.892	33.392	-23.233	0.000	0.000
FP1	3.108	67.392	2.767	0.000	0.000
FP2	3.108	77.392	0.767	0.000	0.000
FP3	-4.892	81.392	0.767	0.000	0.000
FP4	-13.892	80.392	4.767	0.000	0.000
FP5	-22.892	78.392	7.767	0.000	0.000
FP6	-32.892	76.392	12.767	0.000	0.000
FP7	-36.892	68.392	18.767	0.000	0.000
FP8	-40.892	60.392	22.767	0.000	0.000
HF1	-38.892	-3.608	70.767	0.000	0.000
HF2	-37.892	5.392	70.767	0.000	0.000
HF3	-33.892	15.392	67.767	0.000	0.000
HF4	-32.892	24.392	66.767	0.000	0.000
HF5	-27.892	34.392	64.767	0.000	0.000
HF6	-23.892	44.392	61.767	0.000	0.000
HF7	-19.892	51.392	57.767	0.000	0.000
HF8	-14.892	59.392	53.767	0.000	0.000
D1	-12.987	30.021	27.697	0.000	0.000
D2	-16.319	34.197	28.166	0.000	0.000
D3	-19.731	38.046	28.703	0.000	0.000
D4	-23.273	41.707	29.314	0.000	0.000
D5	-27.091	45.201	29.864	0.000	0.000
D6	-31.271	48.134	30.883	0.000	0.000
