name	x	y	z	size	manufacturer
chan1	-52.625	37.191	40.487	0.785	PMT (Chanhassen, MN)
chan2	-53.801	32.759	40.315	0.785	PMT (Chanhassen, MN)
chan3	-54.718	29.424	39.167	0.785	PMT (Chanhassen, MN)
chan4	-55.740	25.625	38.600	0.785	PMT (Chanhassen, MN)
chan5	-56.852	21.566	37.324	0.785	PMT (Chanhassen, MN)
chan6	-57.898	17.798	35.745	0.785	PMT (Chanhassen, MN)
chan7	-58.723	14.107	35.022	0.785	PMT (Chanhassen, MN)
chan8	-59.668	9.780	33.528	0.785	PMT (Chanhassen, MN)
chan9	-53.758	32.485	43.866	0.785	PMT (Chanhassen, MN)
chan10	-55.902	24.560	42.286	0.785	PMT (Chanhassen, MN)
chan11	-58.034	16.572	40.522	0.785	PMT (Chanhassen, MN)
chan12	-59.538	8.694	39.049	0.785	PMT (Chanhassen, MN)
chan13	-52.230	35.635	50.044	0.785	PMT (Chanhassen, MN)
chan14	-53.710	31.735	47.882	0.785	PMT (Chanhassen, MN)
chan15	-54.939	27.651	46.823	0.785	PMT (Chanhassen, MN)
chan16	-56.005	23.711	46.022	0.785	PMT (Chanhassen, MN)
chan17	-57.141	19.463	45.566	0.785	PMT (Chanhassen, MN)
chan18	-58.165	15.242	44.998	0.785	PMT (Chanhassen, MN)
chan19	-58.834	11.599	43.803	0.785	PMT (Chanhassen, MN)
chan20	-59.391	7.821	42.924	0.785	PMT (Chanhassen, MN)
chan21	-53.349	30.819	52.345	0.785	PMT (Chanhassen, MN)
chan22	-56.042	22.539	51.244	0.785	PMT (Chanhassen, MN)
chan23	-58.075	14.548	49.295	0.785	PMT (Chanhassen, MN)
chan24	-59.281	6.404	47.297	0.785	PMT (Chanhassen, MN)
chan25	-50.808	33.849	57.249	0.785	PMT (Chanhassen, MN)
chan26	-52.522	29.767	56.591	0.785	PMT (Chanhassen, MN)
chan27	-53.931	25.964	55.989	0.785	PMT (Chanhassen, MN)
chan28	-55.616	21.481	54.998	0.785	PMT (Chanhassen, MN)
chan29	-56.892	17.500	54.507	0.785	PMT (Chanhassen, MN)
chan30	-57.772	13.479	53.642	0.785	PMT (Chanhassen, MN)
chan31	-58.526	9.339	52.746	0.785	PMT (Chanhassen, MN)
chan32	-59.137	5.093	51.967	0.785	PMT (Chanhassen, MN)
chan33	-51.254	28.723	60.691	0.785	PMT (Chanhassen, MN)
chan34	-54.919	20.340	58.848	0.785	PMT (Chanhassen, MN)
chan35	-57.036	12.630	57.456	0.785	PMT (Chanhassen, MN)
chan36	-58.617	4.175	55.560	0.785	PMT (Chanhassen, MN)
chan37	-47.849	31.136	65.464	0.785	PMT (Chanhassen, MN)
chan38	-49.653	27.268	64.596	0.785	PMT (Chanhassen, MN)
chan39	-51.639	23.516	63.340	0.785	PMT (Chanhassen, MN)
chan40	-53.495	19.147	62.681	0.785	PMT (Chanhassen, MN)
chan41	-54.921	15.368	62.025	0.785	PMT (Chanhassen, MN)
chan42	-55.799	11.626	61.131	0.785	PMT (Chanhassen, MN)
chan43	-56.571	7.487	60.404	0.785	PMT (Chanhassen, MN)
chan44	-57.401	3.026	59.376	0.785	PMT (Chanhassen, MN)
chan45	-47.901	26.093	68.390	0.785	PMT (Chanhassen, MN)
chan46	-51.692	17.949	66.388	0.785	PMT (Chanhassen, MN)
chan47	-54.093	10.070	65.150	0.785	PMT (Chanhassen, MN)
chan48	-55.376	1.764	63.350	0.785	PMT (Chanhassen, MN)
chan49	-52.783	36.051	44.923	0.785	PMT (Chanhassen, MN)
chan50	-54.817	28.632	42.578	0.785	PMT (Chanhassen, MN)
chan51	-56.999	20.483	41.623	0.785	PMT (Chanhassen, MN)
chan52	-58.896	12.465	40.184	0.785	PMT (Chanhassen, MN)
chan53	-51.767	34.786	53.737	0.785	PMT (Chanhassen, MN)
chan54	-54.688	26.835	51.612	0.785	PMT (Chanhassen, MN)
chan55	-57.297	18.323	50.065	0.785	PMT (Chanhassen, MN)
chan56	-58.674	10.584	48.148	0.785	PMT (Chanhassen, MN)
chan57	-49.336	32.860	61.571	0.785	PMT (Chanhassen, MN)
chan58	-53.134	24.484	59.760	0.785	PMT (Chanhassen, MN)
chan59	-56.161	16.669	58.094	0.785	PMT (Chanhassen, MN)
chan60	-58.028	8.245	56.016	0.785	PMT (Chanhassen, MN)
chan61	-46.283	30.003	68.902	0.785	PMT (Chanhassen, MN)
chan62	-49.865	22.246	67.227	0.785	PMT (Chanhassen, MN)
chan63	-53.031	14.117	65.727	0.785	PMT (Chanhassen, MN)
chan64	-54.901	5.945	64.196	0.785	PMT (Chanhassen, MN)
