name	x	y	z	size
T01	-45.875	33.961	7.870	n/a
T02	-47.875	23.961	10.870	n/a
T03	-50.875	14.961	11.870	n/a
T04	-51.875	4.961	14.870	n/a
T05	-53.875	-4.039	16.870	n/a
T06	-52.875	-15.039	19.870	n/a
T07	-52.875	-25.039	21.870	n/a
T08	-47.875	-35.039	22.870	n/a
T09	-46.875	30.961	-2.130	n/a
T10	-47.875	21.961	0.870	n/a
T11	-49.875	11.961	3.870	n/a
T12	-52.875	3.961	5.870	n/a
T13	-52.875	-7.039	7.870	n/a
T14	-53.875	-17.039	10.870	n/a
T15	-52.875	-28.039	11.870	n/a
T16	-47.875	-37.039	13.870	n/a
T17	-44.875	27.961	-11.130	n/a
T18	-48.875	19.961	-8.130	n/a
T19	-50.875	10.961	-5.130	n/a
T20	-52.875	1.961	-3.130	n/a
T21	-54.875	-9.039	-1.130	n/a
T22	-54.875	-20.039	0.870	n/a
T23	-51.875	-30.039	2.870	n/a
T24	-47.875	-38.039	4.870	n/a
T25	-47.875	26.961	-19.130	n/a
T26	-49.875	17.961	-17.130	n/a
T27	-52.875	8.961	-14.130	n/a
T28	-56.875	-0.039	-12.130	n/a
T29	-57.875	-11.039	-10.130	n/a
T30	-55.875	-22.039	-8.130	n/a
T31	-51.875	-31.039	-5.130	n/a
T32	-47.875	-41.039	-3.130	n/a
T33	-35.875	40.961	-33.130	n/a
T34	-43.875	31.961	-31.130	n/a
T35	-48.875	23.961	-30.130	n/a
T36	-51.875	14.961	-27.130	n/a
T37	-56.875	5.961	-24.130	n/a
T38	-58.875	-5.039	-20.130	n/a
T39	-57.875	-14.039	-16.130	n/a
T40	-56.875	-25.039	-15.130	n/a
T41	-35.875	35.961	-43.130	n/a
T42	-43.875	29.961	-41.130	n/a
T43	-48.875	20.961	-38.130	n/a
T44	-50.875	10.961	-36.130	n/a
T45	-51.875	1.961	-35.130	n/a
T46	-56.875	-7.039	-30.130	n/a
T47	-56.875	-17.039	-27.130	n/a
T48	-54.875	-27.039	-25.130	n/a
vT1	-14.875	11.961	-46.130	n/a
vT2	-15.875	20.961	-46.130	n/a
vT3	-18.875	30.961	-46.130	n/a
vT4	-23.875	39.961	-43.130	n/a
vT5	-29.875	42.961	-36.130	n/a
vT6	-36.875	39.961	-28.130	n/a
vT7	-39.875	35.961	-19.130	n/a
vT8	-44.875	27.961	-11.130	n/a
sT1	-9.875	10.961	-39.130	n/a
sT2	-15.875	10.961	-47.130	n/a
sT3	-24.875	9.961	-53.130	n/a
sT4	-35.875	11.961	-54.130	n/a
sT5	-43.875	12.961	-48.130	n/a
sT6	-49.875	12.961	-38.130	n/a
sT7	-51.875	13.961	-30.130	n/a
sT8	-50.875	13.961	-19.130	n/a
