name	x	y	z	size	impedance
F01	-18.500	56.500	29.550	0.000	0.000
F02	-20.500	49.500	34.550	0.000	0.000
F03	-22.500	41.500	40.550	0.000	0.000
F04	-21.500	31.500	45.550	0.000	0.000
F05	-21.500	22.500	49.550	0.000	0.000
F06	-20.500	14.500	50.550	0.000	0.000
F07	-20.500	3.500	52.550	0.000	0.000
F08	-19.500	-6.500	55.550	0.000	0.000
F09	-26.500	55.500	24.550	0.000	0.000
F10	-29.500	48.500	30.550	0.000	0.000
F11	-30.500	40.500	36.550	0.000	0.000
F12	-32.500	30.500	41.550	0.000	0.000
F13	-32.500	21.500	45.550	0.000	0.000
F14	-31.500	11.500	48.550	0.000	0.000
F15	-29.500	1.500	49.550	0.000	0.000
F16	-28.500	-8.500	50.550	0.000	0.000
F17	-36.500	53.500	19.550	0.000	0.000
F18	-38.500	46.500	25.550	0.000	0.000
F19	-40.500	37.500	30.550	0.000	0.000
F20	-38.500	27.500	34.550	0.000	0.000
F21	-41.500	19.500	39.550	0.000	0.000
F22	-39.500	8.500	42.550	0.000	0.000
F23	-37.500	-0.500	43.550	0.000	0.000
F24	-37.500	-10.500	46.550	0.000	0.000
F25	-43.500	51.500	11.550	0.000	0.000
F26	-44.500	42.500	17.550	0.000	0.000
F27	-45.500	34.500	20.550	0.000	0.000
F28	-48.500	25.500	27.550	0.000	0.000
F29	-48.500	15.500	31.550	0.000	0.000
F30	-47.500	6.500	35.550	0.000	0.000
F31	-45.500	-2.500	38.550	0.000	0.000
F32	-46.500	-13.500	41.550	0.000	0.000
F33	-45.500	47.500	3.550	0.000	0.000
F34	-49.500	39.500	9.550	0.000	0.000
F35	-51.500	30.500	13.550	0.000	0.000
F36	-53.500	21.500	17.550	0.000	0.000
F37	-54.500	12.500	22.550	0.000	0.000
F38	-52.500	2.500	26.550	0.000	0.000
F39	-54.500	-6.500	31.550	0.000	0.000
F40	-51.500	-16.500	34.550	0.000	0.000
F41	-49.500	43.500	-5.450	0.000	0.000
F42	-51.500	34.500	-0.450	0.000	0.000
F43	-52.500	25.500	2.550	0.000	0.000
F44	-55.500	17.500	9.550	0.000	0.000
F45	-57.500	8.500	13.550	0.000	0.000
F46	-58.500	0.500	18.550	0.000	0.000
F47	-58.500	-9.500	22.550	0.000	0.000
F48	-55.500	-18.500	25.550	0.000	0.000
FB49	-32.500	68.500	-14.450	0.000	0.000
FB50	-40.500	64.500	-12.450	0.000	0.000
FB51	-45.500	55.500	-9.450	0.000	0.000
FB52	-48.500	47.500	-6.450	0.000	0.000
FB53	-50.500	37.500	-3.450	0.000	0.000
FB54	-52.500	28.500	0.550	0.000	0.000
FB55	-54.500	19.500	2.550	0.000	0.000
FB56	-57.500	9.500	6.550	0.000	0.000
FB57	-29.500	63.500	-21.450	0.000	0.000
FB58	-38.500	59.500	-21.450	0.000	0.000
FB59	-45.500	52.500	-19.450	0.000	0.000
FB60	-48.500	43.500	-15.450	0.000	0.000
FB61	-47.500	34.500	-12.450	0.000	0.000
FB62	-44.500	23.500	-8.450	0.000	0.000
FB63	-53.500	15.500	-6.450	0.000	0.000
FB64	-56.500	7.500	-3.450	0.000	0.000
IH1	-0.500	28.500	17.550	0.000	0.000
IH2	-0.500	28.500	27.550	0.000	0.000
IH3	0.500	28.500	37.550	0.000	0.000
IH4	-0.500	27.500	47.550	0.000	0.000
IH5	-8.500	23.500	51.550	0.000	0.000
IH6	-16.500	18.500	50.550	0.000	0.000
IH7	-25.500	14.500	50.550	0.000	0.000
IH8	-32.500	5.500	47.550	0.000	0.000
D1	-20.857	13.511	25.074	0.000	0.000
D2	-24.141	15.937	27.809	0.000	0.000
D3	-27.476	18.124	30.574	0.000	0.000
D4	-30.850	19.748	33.834	0.000	0.000
