name	x	y	z	size
T01	-44.531	17.344	-8.500	n/a
T02	-48.281	9.844	-2.500	n/a
T03	-50.156	1.406	3.500	n/a
T04	-50.156	-7.969	9.500	n/a
T05	-40.781	-15.469	12.500	n/a
T06	-32.344	-23.906	14.500	n/a
T07	-32.344	-31.406	17.500	n/a
T08	-22.969	-38.906	20.500	n/a
T09	-48.281	12.656	-16.500	n/a
T10	-51.094	5.156	-8.500	n/a
T11	-52.969	-3.281	-4.500	n/a
T12	-53.906	-13.594	0.500	n/a
T13	-53.906	-22.969	8.500	n/a
T14	-38.906	-28.594	10.500	n/a
T15	-43.594	-38.906	15.500	n/a
T16	-42.656	-48.281	20.500	n/a
T17	-51.094	7.969	-25.500	n/a
T18	-54.844	0.469	-18.500	n/a
T19	-56.719	-8.906	-11.500	n/a
T20	-57.656	-18.281	-7.500	n/a
T21	-56.719	-27.656	-0.500	n/a
T22	-52.969	-36.094	4.500	n/a
T23	-50.156	-45.469	9.500	n/a
T24	-45.469	-54.844	12.500	n/a
T25	-48.281	2.344	-33.500	n/a
T26	-52.969	-5.156	-29.500	n/a
T27	-55.781	-12.656	-22.500	n/a
T28	-58.594	-22.969	-15.500	n/a
T29	-56.719	-33.281	-10.500	n/a
T30	-54.844	-41.719	-4.500	n/a
T31	-51.094	-51.094	0.500	n/a
T32	-45.469	-58.594	3.500	n/a
P33	-9.844	20.156	52.500	n/a
P34	-19.219	12.656	52.500	n/a
P35	-24.844	6.094	47.500	n/a
P36	-31.406	-1.406	45.500	n/a
P37	-32.344	-10.781	37.500	n/a
P38	-35.156	-17.344	30.500	n/a
P39	-28.594	-22.969	20.500	n/a
P40	-33.281	-30.469	16.500	n/a
P41	-16.406	26.719	48.500	n/a
P42	-23.906	20.156	46.500	n/a
P43	-30.469	12.656	43.500	n/a
P44	-37.969	5.156	39.500	n/a
P45	-42.656	-3.281	33.500	n/a
P46	-44.531	-10.781	26.500	n/a
P47	-36.094	-18.281	15.500	n/a
P48	-41.719	-26.719	11.500	n/a
PO49	-7.969	-80.156	-11.500	n/a
PO50	-17.344	-63.281	-3.500	n/a
PO51	-14.531	-60.469	0.500	n/a
PO52	-17.344	-63.281	9.500	n/a
PO53	-26.719	-66.094	21.500	n/a
PO54	-29.531	-59.531	29.500	n/a
PO55	-26.719	-49.219	28.500	n/a
PO56	-21.094	-36.094	30.500	n/a
PO57	-0.469	-74.531	-6.500	n/a
PO58	-13.594	-60.469	1.500	n/a
PO59	-10.781	-64.219	8.500	n/a
PO60	-10.781	-67.031	17.500	n/a
PO61	-15.469	-67.969	28.500	n/a
PO62	-20.156	-58.594	33.500	n/a
PO63	-22.031	-51.094	36.500	n/a
PO64	-22.031	-40.781	41.500	n/a
F01	-25.781	61.406	2.500	n/a
F02	-33.281	56.719	7.500	n/a
F03	-38.906	48.281	9.500	n/a
F04	-42.656	38.906	12.500	n/a
F05	-45.469	29.531	14.500	n/a
F06	-47.344	19.219	17.500	n/a
F07	-48.281	9.844	20.500	n/a
F08	-47.344	-1.406	21.500	n/a
vT1	-12.656	-2.344	-31.500	n/a
vT2	-15.469	7.031	-33.500	n/a
vT3	-22.031	18.281	-36.500	n/a
vT4	-30.469	23.906	-32.500	n/a
vT5	-39.844	22.969	-26.500	n/a
vT6	-45.469	17.344	-20.500	n/a
vT7	-49.219	10.781	-14.500	n/a
vT8	-52.031	2.344	-8.500	n/a
sT1	-14.531	5.156	-31.500	n/a
sT2	-19.219	3.281	-39.500	n/a
sT3	-33.281	4.219	-43.500	n/a
sT4	-43.594	-0.469	-39.500	n/a
sT5	-50.156	-5.156	-34.500	n/a
sT6	-52.969	-11.719	-27.500	n/a
sT7	-56.719	-14.531	-17.500	n/a
sT8	-56.719	-22.969	-6.500	n/a
Oc1	-23.906	-81.094	-20.500	n/a
Oc2	-27.656	-81.094	-16.500	n/a
Oc3	-37.031	-71.719	-19.500	n/a
Oc4	-36.094	-72.656	-3.500	n/a
Oc5	-15.469	-82.031	-13.500	n/a
Oc6	-22.031	-78.281	-7.500	n/a
Oc7	-18.281	-64.219	-3.500	n/a
Oc8	-21.094	-58.594	3.500	n/a
