name	x	y	z	size
T01	-47.259	53.592	28.643	n/a
T02	-50.259	42.592	30.643	n/a
T03	-51.259	33.592	33.643	n/a
T04	-52.259	24.592	35.643	n/a
T05	-56.259	14.592	38.643	n/a
T06	-57.259	4.592	41.643	n/a
T07	-55.259	-5.408	44.643	n/a
T08	-55.259	-15.408	46.643	n/a
T09	-52.259	50.592	17.643	n/a
T10	-54.259	41.592	20.643	n/a
T11	-54.259	31.592	23.643	n/a
T12	-58.259	22.592	26.643	n/a
T13	-60.259	13.592	29.643	n/a
T14	-63.259	3.592	32.643	n/a
T15	-63.259	-6.408	35.643	n/a
T16	-63.259	-16.408	37.643	n/a
T17	-50.259	48.592	6.643	n/a
T18	-50.259	37.592	10.643	n/a
T19	-54.259	29.592	13.643	n/a
T20	-58.259	19.592	16.643	n/a
T21	-60.259	11.592	18.643	n/a
T22	-62.259	-1.408	21.643	n/a
T23	-66.259	-9.408	25.643	n/a
T24	-67.259	-19.408	28.643	n/a
T25	-48.259	44.592	-3.357	n/a
T26	-54.259	37.592	0.643	n/a
T27	-60.259	28.592	3.643	n/a
T28	-62.259	18.592	5.643	n/a
T29	-63.259	9.592	10.643	n/a
T30	-63.259	-0.408	12.643	n/a
T31	-67.259	-11.408	14.643	n/a
T32	-67.259	-21.408	17.643	n/a
T33	-47.259	42.592	-12.357	n/a
T34	-55.259	34.592	-10.357	n/a
T35	-59.259	22.592	-6.357	n/a
T36	-62.259	15.592	-2.357	n/a
T37	-65.259	6.592	-0.357	n/a
T38	-68.259	-3.408	2.643	n/a
T39	-68.259	-13.408	4.643	n/a
T40	-68.259	-23.408	7.643	n/a
T41	-43.259	37.592	-22.357	n/a
T42	-53.259	29.592	-20.357	n/a
T43	-57.259	21.592	-16.357	n/a
T44	-63.259	13.592	-13.357	n/a
T45	-66.259	3.592	-10.357	n/a
T46	-68.259	-6.408	-7.357	n/a
T47	-68.259	-16.408	-5.357	n/a
T48	-67.259	-25.408	-2.357	n/a
sT1	-19.259	22.592	-20.357	n/a
sT2	-24.259	26.592	-30.357	n/a
sT3	-34.259	31.592	-31.357	n/a
sT4	-44.259	33.592	-26.357	n/a
sT5	-53.259	31.592	-19.357	n/a
sT6	-56.259	28.592	-10.357	n/a
sT7	-59.259	24.592	-2.357	n/a
sT8	-62.259	16.592	5.643	n/a
vT1	-34.259	11.592	-26.357	n/a
vT2	-26.259	18.592	-29.357	n/a
vT3	-23.259	28.592	-29.357	n/a
vT4	-22.259	37.592	-25.357	n/a
vT5	-26.259	44.592	-19.357	n/a
vT6	-33.259	46.592	-12.357	n/a
vT7	-41.259	46.592	-5.357	n/a
vT8	-49.259	42.592	0.643	n/a
