name	x	y	z	size
F01	-14.244	79.875	47.507	n/a
F02	-22.244	76.875	52.507	n/a
F03	-28.244	68.875	57.507	n/a
F04	-34.244	59.875	63.507	n/a
F05	-38.244	51.875	67.507	n/a
F06	-42.244	41.875	72.507	n/a
F07	-45.244	32.875	76.507	n/a
F08	-47.244	21.875	79.507	n/a
F09	-0.244	50.875	39.507	n/a
F10	-27.244	74.875	43.507	n/a
F11	-34.244	67.875	49.507	n/a
F12	-40.244	58.875	53.507	n/a
F13	-44.244	49.875	58.507	n/a
F14	-48.244	39.875	63.507	n/a
F15	-50.244	29.875	67.507	n/a
F16	-52.244	20.875	70.507	n/a
F17	-20.244	72.875	24.507	n/a
F18	-31.244	70.875	31.507	n/a
F19	-39.244	64.875	38.507	n/a
F20	-45.244	55.875	44.507	n/a
F21	-50.244	45.875	47.507	n/a
F22	-53.244	36.875	51.507	n/a
F23	-54.244	26.875	56.507	n/a
F24	-55.244	17.875	60.507	n/a
F25	-18.244	63.875	20.507	n/a
F26	-28.244	61.875	21.507	n/a
F27	-41.244	60.875	26.507	n/a
F28	-48.244	51.875	33.507	n/a
F29	-52.244	41.875	38.507	n/a
F30	-51.244	30.875	41.507	n/a
F31	-53.244	22.875	45.507	n/a
F32	-58.244	14.875	51.507	n/a
F33	1.756	48.875	19.507	n/a
F34	-0.244	46.875	32.507	n/a
F35	-16.244	47.875	15.507	n/a
F36	-27.244	47.875	16.507	n/a
F37	-39.244	47.875	19.507	n/a
F38	-48.244	44.875	29.507	n/a
F39	-52.244	40.875	41.507	n/a
F40	-53.244	35.875	49.507	n/a
F41	-0.244	36.875	34.507	n/a
F42	-4.244	37.875	13.507	n/a
F43	-15.244	37.875	13.507	n/a
F44	-27.244	37.875	11.507	n/a
F45	-39.244	36.875	16.507	n/a
F46	-46.244	34.875	24.507	n/a
F47	-50.244	30.875	33.507	n/a
F48	-53.244	26.875	46.507	n/a
