name	x	y	z	size
T01	-55.835	36.392	18.030	n/a
T02	-56.835	27.392	23.030	n/a
T03	-57.835	20.392	28.030	n/a
T04	-59.835	11.392	34.030	n/a
T05	-61.835	2.392	39.030	n/a
T06	-63.835	-7.608	44.030	n/a
T07	-64.835	-16.608	48.030	n/a
T08	-62.835	-26.608	53.030	n/a
T09	-51.835	31.392	9.030	n/a
T10	-53.835	22.392	14.030	n/a
T11	-57.835	15.392	19.030	n/a
T12	-61.835	6.392	25.030	n/a
T13	-64.835	-2.608	31.030	n/a
T14	-64.835	-11.608	36.030	n/a
T15	-66.835	-21.608	40.030	n/a
T16	-64.835	-30.608	45.030	n/a
T17	-51.835	27.392	2.030	n/a
T18	-54.835	19.392	6.030	n/a
T19	-58.835	10.392	10.030	n/a
T20	-62.835	1.392	16.030	n/a
T21	-64.835	-6.608	21.030	n/a
T22	-61.835	-16.608	26.030	n/a
T23	-65.835	-26.608	31.030	n/a
T24	-64.835	-35.608	35.030	n/a
T25	-56.835	22.392	-7.970	n/a
T26	-59.835	15.392	-1.970	n/a
T27	-61.835	6.392	3.030	n/a
T28	-65.835	-1.608	8.030	n/a
T29	-65.835	-11.608	12.030	n/a
T30	-65.835	-21.608	18.030	n/a
T31	-65.835	-30.608	22.030	n/a
T32	-62.835	-39.608	25.030	n/a
T33	-56.835	16.392	-17.970	n/a
T34	-61.835	9.392	-10.970	n/a
T35	-63.835	1.392	-5.970	n/a
T36	-68.835	-6.608	-0.970	n/a
T37	-67.835	-16.608	4.030	n/a
T38	-66.835	-25.608	9.030	n/a
T39	-64.835	-35.608	13.030	n/a
T40	-61.835	-45.608	17.030	n/a
T41	-55.835	10.392	-22.970	n/a
T42	-59.835	4.392	-20.970	n/a
T43	-63.835	-4.608	-14.970	n/a
T44	-64.835	-12.608	-10.970	n/a
T45	-67.835	-21.608	-4.970	n/a
T46	-66.835	-30.608	0.030	n/a
T47	-64.835	-39.608	3.030	n/a
T48	-60.835	-48.608	7.030	n/a
TO49	-17.835	-76.608	40.030	n/a
TO50	-26.835	-72.608	41.030	n/a
TO51	-35.835	-67.608	42.030	n/a
TO52	-44.835	-62.608	42.030	n/a
TO53	-52.835	-54.608	42.030	n/a
TO54	-58.835	-44.608	42.030	n/a
TO55	-64.835	-35.608	39.030	n/a
TO56	-66.835	-25.608	37.030	n/a
TO57	-13.835	-69.608	46.030	n/a
TO58	-22.835	-67.608	48.030	n/a
TO59	-31.835	-62.608	49.030	n/a
TO60	-39.835	-57.608	51.030	n/a
TO61	-47.835	-51.608	52.030	n/a
TO62	-56.835	-42.608	51.030	n/a
TO63	-61.835	-33.608	50.030	n/a
TO64	-65.835	-22.608	47.030	n/a
vT1	-39.835	-15.608	-20.970	n/a
vT2	-34.835	-7.608	-23.970	n/a
vT3	-30.835	1.392	-27.970	n/a
vT4	-27.835	9.392	-29.970	n/a
vT5	-25.835	17.392	-27.970	n/a
vT6	-29.835	27.392	-19.970	n/a
vT7	-36.835	31.392	-14.970	n/a
vT8	-47.835	31.392	-11.970	n/a
sT1	-42.835	32.392	-20.970	n/a
sT2	-36.835	29.392	-27.970	n/a
sT3	-33.835	21.392	-31.970	n/a
sT4	-32.835	11.392	-33.970	n/a
sT5	-42.835	7.392	-32.970	n/a
sT6	-50.835	8.392	-28.970	n/a
sT7	-57.835	7.392	-21.970	n/a
sT8	-61.835	9.392	-10.970	n/a
