name	x	y	z	size
P01	33.904	-72.584	-21.578	n/a
P02	35.904	-72.584	-11.578	n/a
P03	35.904	-71.584	-1.578	n/a
P04	35.904	-70.584	7.422	n/a
P05	36.904	-68.584	18.422	n/a
P06	33.904	-66.584	27.422	n/a
P07	32.904	-64.584	35.422	n/a
P08	26.904	-63.584	44.422	n/a
P09	39.904	-64.584	-24.578	n/a
P10	43.904	-64.584	-12.578	n/a
P11	43.904	-63.584	-2.578	n/a
P12	42.904	-62.584	6.422	n/a
P13	43.904	-61.584	16.422	n/a
P14	42.904	-59.584	27.422	n/a
P15	37.904	-57.584	36.422	n/a
P16	33.904	-54.584	46.422	n/a
P17	45.904	-56.584	-23.578	n/a
P18	47.904	-56.584	-14.578	n/a
P19	47.904	-55.584	-3.578	n/a
P20	48.904	-54.584	6.422	n/a
P21	50.904	-52.584	16.422	n/a
P22	49.904	-51.584	26.422	n/a
P23	46.904	-48.584	37.422	n/a
P24	41.904	-44.584	45.422	n/a
P25	45.904	-45.584	-26.578	n/a
P26	51.904	-47.584	-15.578	n/a
P27	52.904	-46.584	-5.578	n/a
P28	53.904	-45.584	4.422	n/a
P29	54.904	-44.584	15.422	n/a
P30	54.904	-42.584	25.422	n/a
P31	51.904	-40.584	36.422	n/a
P32	44.904	-36.584	44.422	n/a
P33	49.904	-37.584	-26.578	n/a
P34	55.904	-37.584	-17.578	n/a
P35	57.904	-36.584	-6.578	n/a
P36	57.904	-35.584	3.422	n/a
P37	57.904	-33.584	14.422	n/a
P38	57.904	-31.584	23.422	n/a
P39	55.904	-29.584	34.422	n/a
P40	51.904	-27.584	43.422	n/a
P41	49.904	-28.584	-27.578	n/a
P42	55.904	-28.584	-18.578	n/a
P43	60.904	-27.584	-9.578	n/a
P44	60.904	-25.584	1.422	n/a
P45	60.904	-23.584	11.422	n/a
P46	59.904	-22.584	22.422	n/a
P47	58.904	-18.584	32.422	n/a
P48	53.904	-16.584	42.422	n/a
P49	48.904	-18.584	-27.578	n/a
P50	56.904	-17.584	-20.578	n/a
P51	61.904	-16.584	-10.578	n/a
P52	61.904	-14.584	0.422	n/a
P53	60.904	-12.584	9.422	n/a
P54	58.904	-11.584	20.422	n/a
P55	58.904	-9.584	30.422	n/a
P56	53.904	-6.584	39.422	n/a
P57	47.904	-9.584	-26.578	n/a
P58	55.904	-7.584	-21.578	n/a
P59	60.904	-7.584	-11.578	n/a
P60	61.904	-5.584	-2.578	n/a
P61	60.904	-3.584	7.422	n/a
P62	59.904	-1.584	18.422	n/a
P63	57.904	1.416	28.422	n/a
P64	53.904	3.416	36.422	n/a
Oc1	10.904	-28.584	-13.578	n/a
Oc2	7.904	-36.584	-9.578	n/a
Oc3	2.904	-45.584	-5.578	n/a
Oc4	-0.096	-54.584	-1.578	n/a
Oc5	2.904	-80.584	7.422	n/a
Oc6	2.904	-80.584	7.422	n/a
Oc7	6.904	-81.584	6.422	n/a
Oc8	19.904	-80.584	6.422	n/a
OB1	1.904	-50.584	-1.578	n/a
OB2	1.904	-53.584	-10.578	n/a
OB3	3.904	-56.584	-19.578	n/a
OB4	6.904	-61.584	-27.578	n/a
OB5	13.904	-67.584	-32.578	n/a
OB6	20.904	-73.584	-29.578	n/a
OB7	25.904	-77.584	-21.578	n/a
OB8	27.904	-79.584	-9.578	n/a
PB1	0.904	-56.584	-7.578	n/a
PB2	2.904	-56.584	-16.578	n/a
PB3	8.904	-56.584	-24.578	n/a
PB4	16.904	-56.584	-30.578	n/a
PB5	28.904	-61.584	-34.578	n/a
PB6	35.904	-58.584	-30.578	n/a
PB7	45.904	-55.584	-23.578	n/a
PB8	47.904	-54.584	-13.578	n/a
sT1	9.904	30.416	-20.578	n/a
sT2	6.904	24.416	-26.578	n/a
sT3	9.904	14.416	-34.578	n/a
sT4	20.904	8.416	-35.578	n/a
sT5	29.904	6.416	-33.578	n/a
sT6	38.904	4.416	-31.578	n/a
sT7	47.904	1.416	-28.578	n/a
sT8	54.904	0.416	-20.578	n/a
