name	x	y	z	size	group	hemisphere
LC01	-43.587	47.056	42.864	n/a	LC	L
LC02	-49.187	39.565	45.884	n/a	LC	L
LC03	-54.787	29.821	48.161	n/a	LC	L
LC04	-58.787	20.825	49.686	n/a	LC	L
LC05	-61.987	11.831	51.960	n/a	LC	L
LC06	-64.387	0.583	52.741	n/a	LC	L
LC07	-65.187	-9.163	54.268	n/a	LC	L
LC08	-65.187	-18.915	53.545	n/a	LC	L
LC09	-49.987	47.784	34.612	n/a	LC	L
LC10	-55.587	40.290	36.882	n/a	LC	L
LC11	-60.387	30.546	39.159	n/a	LC	L
LC12	-64.387	21.550	40.684	n/a	LC	L
LC13	-65.987	10.307	42.965	n/a	LC	L
LC14	-67.587	0.555	42.241	n/a	LC	L
LC15	-69.187	-9.191	43.768	n/a	LC	L
LC16	-70.787	-18.189	44.543	n/a	LC	L
LC17	-53.987	47.757	24.862	n/a	LC	L
LC18	-58.787	39.511	26.384	n/a	LC	L
LC19	-63.587	29.767	28.661	n/a	LC	L
LC20	-67.587	21.524	30.934	n/a	LC	L
LC21	-69.187	9.528	32.467	n/a	LC	L
LC22	-70.787	1.282	33.989	n/a	LC	L
LC23	-73.987	-9.212	36.268	n/a	LC	L
LC24	-75.587	-18.964	35.545	n/a	LC	L
LC25	-56.387	46.980	15.114	n/a	LC	L
LC26	-60.387	37.984	16.639	n/a	LC	L
LC27	-65.987	28.991	18.913	n/a	LC	L
LC28	-69.987	20.747	21.186	n/a	LC	L
LC29	-72.387	9.499	21.967	n/a	LC	L
LC30	-75.587	0.503	23.491	n/a	LC	L
LC31	-77.987	-8.491	25.766	n/a	LC	L
LC32	-77.987	-18.991	25.795	n/a	LC	L
HC01	-61.987	-22.650	58.805	n/a	HC	L
HC02	-60.387	-13.646	60.280	n/a	HC	L
HC03	-59.587	-3.146	60.251	n/a	HC	L
HC04	-56.387	7.354	60.223	n/a	HC	L
HC05	-52.387	16.350	58.698	n/a	HC	L
HC06	-47.587	25.341	55.673	n/a	HC	L
HC07	-44.387	35.083	52.647	n/a	HC	L
HC08	-39.587	44.077	50.372	n/a	HC	L
HC09	-52.387	-24.880	66.311	n/a	HC	L
HC10	-51.587	-15.128	67.034	n/a	HC	L
HC11	-50.787	-4.628	67.005	n/a	HC	L
HC12	-48.387	5.870	66.227	n/a	HC	L
HC13	-44.387	14.866	64.702	n/a	HC	L
HC14	-41.187	23.860	62.427	n/a	HC	L
HC15	-35.587	32.852	59.403	n/a	HC	L
HC16	-32.387	42.593	56.376	n/a	HC	L
iH1	-29.187	-69.275	13.182	n/a	iH	L
iH2	-28.387	-59.517	16.156	n/a	iH	L
iH3	-28.387	-50.507	19.881	n/a	iH	L
iH4	-27.587	-40.747	23.604	n/a	iH	L
iH5	-26.787	-31.736	27.330	n/a	iH	L
iH6	-25.187	-22.726	31.055	n/a	iH	L
iH7	-24.387	-13.716	34.780	n/a	iH	L
iH8	-23.587	-4.706	38.506	n/a	iH	L
P01	-40.387	-50.400	58.881	n/a	P	L
P02	-47.587	-48.898	59.627	n/a	P	L
P03	-57.187	-45.906	56.619	n/a	P	L
P04	-65.187	-42.923	50.610	n/a	P	L
P05	-72.387	-38.443	43.098	n/a	P	L
P06	-76.387	-32.466	34.832	n/a	P	L
P07	-77.987	-27.236	27.317	n/a	P	L
P08	-78.787	-22.009	19.053	n/a	P	L
F01	-47.587	51.402	-13.398	n/a	F	L
F02	-53.187	47.677	-4.388	n/a	F	L
F03	-56.387	45.450	3.868	n/a	F	L
F04	-59.587	40.228	14.382	n/a	F	L
F05	-47.587	42.392	-17.124	n/a	F	L
F06	-53.187	39.415	-8.865	n/a	F	L
F07	-59.587	35.687	-0.605	n/a	F	L
F08	-62.787	32.712	8.403	n/a	F	L
T01	-9.987	4.072	-42.519	n/a	T	L
T02	-21.987	6.304	-49.275	n/a	T	L
T03	-33.187	12.304	-49.291	n/a	T	L
T04	-41.187	14.562	-46.297	n/a	T	L
T05	-48.387	16.828	-40.304	n/a	T	L
T06	-55.587	18.351	-32.058	n/a	T	L
T07	-60.387	19.126	-23.060	n/a	T	L
T08	-64.387	16.150	-14.052	n/a	T	L
