name	x	y	z	size	manufacturer
AR1	22.420	23.640	-31.740	4.155	AdTech
AR2	25.334	23.354	-31.654	4.155	AdTech
AR3	31.334	22.954	-32.054	4.155	AdTech
AR4	37.134	22.354	-32.454	4.155	AdTech
AR5	42.934	21.954	-32.854	4.155	AdTech
AR6	48.968	21.521	-33.121	4.155	AdTech
AR7	54.734	21.154	-33.454	4.155	AdTech
AR8	60.801	21.188	-34.288	4.155	AdTech
AR9	66.668	20.621	-34.788	4.155	AdTech
AHR1	26.134	15.354	-36.454	4.155	AdTech
AHR2	28.134	15.354	-36.454	4.155	AdTech
AHR3	34.634	14.354	-34.954	4.155	AdTech
AHR4	40.356	13.465	-33.676	4.155	AdTech
AHR5	46.225	12.627	-32.273	4.155	AdTech
AHR6	51.801	11.799	-30.899	4.155	AdTech
AHR7	57.468	10.910	-30.010	4.155	AdTech
AHR8	63.579	10.243	-28.788	4.155	AdTech
AHR9	69.134	9.354	-27.454	4.155	AdTech
PHR1	28.706	-5.646	-24.597	4.155	AdTech
PHR2	31.634	-6.146	-24.954	4.155	AdTech
PHR3	37.734	-5.846	-25.454	4.155	AdTech
PHR4	43.468	-6.146	-26.121	4.155	AdTech
PHR5	49.634	-5.646	-26.454	4.155	AdTech
PHR6	55.468	-5.812	-26.621	4.155	AdTech
PHR7	61.634	-5.646	-26.454	4.155	AdTech
PHR8	67.596	-6.261	-26.070	4.155	AdTech
PHR9	73.075	-6.587	-25.984	4.155	AdTech
ITR1	40.968	5.521	-40.454	4.155	AdTech
ITR2	44.134	5.354	-39.454	4.155	AdTech
ITR3	48.134	4.354	-37.454	4.155	AdTech
ITR4	51.134	3.354	-36.454	4.155	AdTech
ITR5	54.134	3.354	-34.454	4.155	AdTech
ITR6	57.134	3.354	-33.454	4.155	AdTech
ITR7	60.134	2.354	-31.454	4.155	AdTech
ITR8	63.134	2.354	-30.454	4.155	AdTech
ITR9	67.134	2.354	-28.454	4.155	AdTech
ITR10	70.134	1.354	-26.454	4.155	AdTech
MFR1	13.134	70.354	-15.454	4.155	AdTech
MFR2	14.134	70.354	-11.454	4.155	AdTech
MFR3	15.134	70.354	-8.454	4.155	AdTech
MFR4	16.134	70.354	-5.454	4.155	AdTech
MFR5	18.134	70.354	-2.454	4.155	AdTech
MFR6	19.134	70.354	1.546	4.155	AdTech
MFR7	20.134	69.354	4.546	4.155	AdTech
MFR8	22.134	69.354	8.546	4.155	AdTech
MFR9	23.134	69.354	11.546	4.155	AdTech
MFR10	24.134	69.354	14.546	4.155	AdTech
MFR11	25.134	69.354	17.546	4.155	AdTech
MFR12	26.134	69.354	20.546	4.155	AdTech
MFR13	27.134	69.354	23.546	4.155	AdTech
MFR14	28.134	68.354	27.546	4.155	AdTech
MFR15	29.134	68.354	30.546	4.155	AdTech
FOR1	22.134	67.354	-20.454	4.155	AdTech
FOR2	22.134	66.354	-17.454	4.155	AdTech
FOR3	22.134	65.354	-13.454	4.155	AdTech
FOR4	23.134	65.354	-9.454	4.155	AdTech
FOR5	24.134	65.354	-6.454	4.155	AdTech
FOR6	25.134	65.354	-2.454	4.155	AdTech
FOR7	25.134	64.354	0.546	4.155	AdTech
FOR8	26.134	64.354	4.546	4.155	AdTech
FOR9	26.134	64.354	7.546	4.155	AdTech
FOR10	27.134	64.354	11.546	4.155	AdTech
FOR11	27.134	63.354	14.546	4.155	AdTech
FOR12	28.134	63.354	18.546	4.155	AdTech
FOR13	28.134	63.354	21.546	4.155	AdTech
FOR14	29.134	63.354	24.546	4.155	AdTech
FOR15	29.134	62.354	28.546	4.155	AdTech
MFL1	6.134	75.354	-15.454	4.155	AdTech
MFL2	6.134	75.354	-12.454	4.155	AdTech
MFL3	5.134	75.354	-8.454	4.155	AdTech
MFL4	4.134	75.354	-4.454	4.155	AdTech
MFL5	2.134	74.354	1.546	4.155	AdTech
MFL6	1.134	74.354	4.546	4.155	AdTech
MFL7	1.134	74.354	7.546	4.155	AdTech
MFL8	0.134	73.354	11.546	4.155	AdTech
MFL9	-0.866	73.354	15.546	4.155	AdTech
MFL10	-1.866	73.354	18.546	4.155	AdTech
MFL11	-1.866	72.354	22.546	4.155	AdTech
MFL12	-2.866	72.354	24.546	4.155	AdTech
MFL13	-3.866	72.354	28.546	4.155	AdTech
MFL14	-4.866	71.354	32.546	4.155	AdTech
MFL15	-5.866	72.354	35.546	4.155	AdTech
ACR1	16.134	56.354	-8.454	4.155	AdTech
ACR2	16.134	56.354	-5.454	4.155	AdTech
ACR3	17.134	56.354	-2.454	4.155	AdTech
ACR4	18.134	56.354	1.546	4.155	AdTech
ACR5	19.134	56.354	5.546	4.155	AdTech
ACR6	19.134	56.354	9.546	4.155	AdTech
ACR7	20.134	56.354	11.546	4.155	AdTech
ACR8	21.134	56.354	15.546	4.155	AdTech
ACR9	21.134	56.354	18.546	4.155	AdTech
ACR10	22.134	56.354	22.546	4.155	AdTech
ACR11	22.134	56.354	25.546	4.155	AdTech
ACR12	23.134	56.354	29.546	4.155	AdTech
AHL1	-22.066	14.354	-32.854	4.155	AdTech
AHL2	-24.866	15.354	-32.621	4.155	AdTech
AHL3	-30.580	17.212	-32.883	4.155	AdTech
AHL4	-36.466	18.554	-32.454	4.155	AdTech
AHL5	-42.199	20.188	-32.621	4.155	AdTech
AHL6	-47.699	22.354	-32.454	4.155	AdTech
AHL7	-53.366	23.854	-31.954	4.155	AdTech
AHL8	-59.366	25.354	-31.954	4.155	AdTech
AHL9	-65.097	26.970	-31.762	4.155	AdTech
